problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,gpt-oss-120b-high,ACCEPTED,100,100.00%,100.00%,0.400,83.24609375
2024-sp_Ski_2,gpt-oss-120b-high,RUNTIME_ERROR,0,0.00%,19.40%,0.500,14.9375
2024-sp_Spy_3,gpt-oss-120b-high,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,gpt-oss-120b-high,RUNTIME_ERROR,17,17.00%,36.04%,0.180,5.671875
2024-sp_Tricolor_Lights,gpt-oss-120b-high,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,gpt-oss-120b-high,TIME_LIMIT_EXCEEDED,30,30.00%,76.69%,5.890,134.23046875
2024-sp_Card_Collection,gpt-oss-120b-high,RUNTIME_ERROR,0,0.00%,25.64%,0.150,0
2024-sp_JOI_Tour,gpt-oss-120b-high,TIME_LIMIT_EXCEEDED,52,52.00%,55.41%,3.750,171.96875
2024-sp_Tower,gpt-oss-120b-high,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,0.170,3.09765625
2024-sp_Escape_Route_2,gpt-oss-120b-high,TIME_LIMIT_EXCEEDED,54,54.00%,82.24%,2.430,38.1640625
2024-sp_Island_Hopping,gpt-oss-120b-high,RUNTIME_ERROR,2,2.00%,4.31%,0.160,1.546875
2024-sp_Table_Tennis,gpt-oss-120b-high,ACCEPTED,100,100.00%,100.00%,0.200,13.41796875
