Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2023-ho-t1_Stone_Arranging_2,2023-ho-t1_Stone_Arranging_2_rel,2023-ho-t2_Advertisement_2,2023-ho-t2_Advertisement_2_rel,2023-ho-t3_Maze,2023-ho-t3_Maze_rel,2023-ho-t4_Cat_Exercise,2023-ho-t4_Cat_Exercise_rel,2023-ho-t5_Modern_Machine,2023-ho-t5_Modern_Machine_rel
gpt-oss-120b-high,311.00,,78.20%,60.00%,0.158,27.46,5,100.00,,100.00,,8.00,,100.00,,3.00,
gpt-5,311.00,,77.69%,60.00%,0.694,13.96,5,100.00,,100.00,,8.00,,100.00,,3.00,
deepseek-reasoner,289.00,,67.77%,40.00%,1.122,16.27,5,100.00,,100.00,,86.00,,0.00,,3.00,
gemini-2.5-pro,254.00,,77.51%,40.00%,0.796,9.60,5,100.00,,100.00,,8.00,,31.00,,15.00,
gpt-o3-mini-high,234.00,,67.09%,40.00%,1.056,21.14,5,100.00,,100.00,,0.00,,31.00,,3.00,
gemini-2.5-flash,217.00,,63.18%,40.00%,0.730,229.87,5,100.00,,100.00,,0.00,,14.00,,3.00,
gpt-oss-20b-medium,211.00,,57.69%,40.00%,0.656,11.27,5,100.00,,100.00,,8.00,,0.00,,3.00,
gpt-oss-20b-high,211.00,,57.69%,40.00%,0.656,7.48,5,100.00,,100.00,,8.00,,0.00,,3.00,
gpt-oss-120b-medium,208.00,41.60%,50.07%,40.00%,0.074,9.26,5,100.00,100.00%,100.00,100.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%
seed-oss_8192,208.00,,48.82%,40.00%,0.074,15.49,5,100.00,,100.00,,8.00,,0.00,,0.00,
seed-oss_-1,203.00,,62.14%,40.00%,1.124,6.38,5,100.00,,100.00,,0.00,,0.00,,3.00,
seed-oss_16384,200.00,,58.68%,40.00%,0.534,5.94,5,100.00,,100.00,,0.00,,0.00,,0.00,
Qwen3-30B,190.00,,63.98%,20.00%,1.508,10.20,5,60.00,,100.00,,27.00,,0.00,,3.00,
Qwen3-8B,163.00,,48.25%,20.00%,1.108,3.70,5,60.00,,100.00,,0.00,,0.00,,3.00,
Qwen3-32B,155.00,,61.25%,20.00%,1.474,7.69,5,25.00,,100.00,,27.00,,0.00,,3.00,
DeepSeek-R1-Distill-Llama-70B,130.00,,51.23%,20.00%,1.076,3.50,5,0.00,,100.00,,27.00,,0.00,,3.00,
QwQ-32B,111.00,,47.19%,20.00%,0.656,4.13,5,0.00,,100.00,,8.00,,0.00,,3.00,
gpt-oss-20b-low,111.00,,43.08%,20.00%,0.670,8.38,5,0.00,,100.00,,8.00,,0.00,,3.00,
gpt-oss-120b-low,108.00,,41.10%,20.00%,0.062,5.62,5,0.00,,100.00,,8.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,103.00,,39.07%,20.00%,0.618,1.52,5,0.00,,100.00,,0.00,,0.00,,3.00,
Qwen3-4B,100.00,,29.39%,20.00%,0.652,1.65,5,0.00,,100.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,100.00,,29.39%,20.00%,0.654,1.70,5,0.00,,100.00,,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,36.00,,39.42%,0.00%,1.078,4.37,5,25.00,,0.00,,8.00,,0.00,,3.00,
deepseek-chat,30.00,,44.50%,0.00%,1.436,3.19,5,0.00,,0.00,,27.00,,0.00,,3.00,
gpt-4.1,21.00,,32.04%,0.00%,0.628,5.24,5,0.00,,10.00,,8.00,,0.00,,3.00,
Mistral-Large-Instruct-2411,13.00,,24.57%,0.00%,0.626,2.26,5,0.00,,10.00,,0.00,,0.00,,3.00,
Qwen2.5-72B,13.00,,23.42%,0.00%,0.644,6.19,5,0.00,,10.00,,0.00,,0.00,,3.00,
Qwen2.5-Coder-14B-Instruct,13.00,,23.42%,0.00%,0.652,1.55,5,0.00,,10.00,,0.00,,0.00,,3.00,
Qwen3-30B-Non-Thinking,13.00,,30.20%,0.00%,1.076,4.98,5,0.00,,10.00,,0.00,,0.00,,3.00,
seed-oss_1024,10.00,,14.73%,0.00%,0.052,5.06,5,0.00,,10.00,,0.00,,0.00,,0.00,
seed-oss_512,10.00,,14.73%,0.00%,0.494,5.79,5,0.00,,10.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,10.00,,22.10%,0.00%,0.622,2.17,5,0.00,,10.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,10.00,,17.89%,0.00%,0.654,1.40,5,0.00,,10.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,3.00,,19.93%,0.00%,0.596,0.83,5,0.00,,0.00,,0.00,,0.00,,3.00,
Qwen3-4B-Non-Thinking,3.00,,16.34%,0.00%,1.010,1.05,5,0.00,,0.00,,0.00,,0.00,,3.00,
Qwen3-14B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,0.00,,N/A,
Qwen3-32B-Non-Thinking,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Qwen3-8B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,0.00,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,6.42%,0.00%,0.000,0.00,5,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-4-Scout,0.00,,7.87%,0.00%,0.014,0.62,5,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,0.00,,11.07%,0.00%,0.026,1.34,5,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_4096,0.00,,8.44%,0.00%,0.030,3.25,5,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,10.10%,0.00%,0.354,1.11,5,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,,20.57%,0.00%,0.496,0.98,5,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,,7.87%,0.00%,0.580,8.36,5,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,0.00,,10.24%,0.00%,0.592,1.03,5,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,0.00,,9.39%,0.00%,0.608,2.96,5,0.00,,0.00,,0.00,,0.00,,0.00,
