problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,100.00%,0.110,5.109375,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,2,13.33%,15.71%,0.070,15.96484375,,2,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,0.00%,0.110,13.9296875,,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,0,0.00%,20.35%,1.230,16.765625,,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.760,83.265625,,5,5,7,8,0,0,0
d1p2,ACCEPTED,25,100.00%,100.00%,0.450,100.5546875,,3,4,5,6,7,0,0
d1p3,RUNTIME_ERROR,0,0.00%,0.00%,0.130,17.80078125,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.00%,0.040,1.55078125,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,5,20.00%,14.53%,0.110,45.45703125,,0,0,5,0,0,0,0
d2p3,RUNTIME_ERROR,0,0.00%,2.30%,0.100,22.43359375,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.050,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,100.00%,0.050,2.26953125,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.040,1.55078125,,1,4,5,5,0,0,0
TOTAL,,162,,59.56%,,,56.25%,,,,,,,
