problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,3.77%,0.090,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,2.25%,0.100,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,13.04%,0.170,2.0703125,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,TIME_LIMIT_EXCEEDED,62,81.66%,2.790,31.45703125,,0.0,13.0,0,0,0,0,11.0,8.0,10.0,7.0,6.0,7.0,0
Card_Flip,RUNTIME_ERROR,0,22.81%,0.360,7.03125,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,47.69%,4.420,5.1484375,,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,50,41.94%,0.260,6.97265625,,0.0,23.0,0,0,0,0,16.0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,RUNTIME_ERROR,66,57.26%,0.100,0.00390625,,0,0,0,0,0,0,12.0,13.0,20.0,21.0,0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,0,4.10%,7.710,45.65625,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,TIME_LIMIT_EXCEEDED,72,86.84%,1.660,46.546875,,0.0,17.0,0,0,0,21.0,34.0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,56.59%,3.360,107.0,,0.0,10.0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,55,90.61%,2.270,23.98828125,,0.0,8.0,0,0,0,7.0,9.0,0,8.0,6.0,7.0,10.0,0
Stone_Enthusiast,ACCEPTED,100,100.00%,0.480,2.8671875,,0.0,16.0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,15,60.19%,2.290,15.41796875,,0.0,8.0,0,0,0,7.0,0,0,0,0,0,0,0
Ultrafast_train,RUNTIME_ERROR,42,85.96%,0.160,15.0703125,,0.0,17.0,0,0,0,13.0,12.0,0,0,0,0,0,0
TOTAL,,500,44.39%,,,5.88%,,,,,,,,,,,,,
