problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,100.00%,0.120,5.109375,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.050,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,2,13.33%,15.71%,0.060,3.61328125,,2,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,2.00%,0.060,5.16015625,,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,0,0.00%,18.58%,1.230,12.28515625,,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,1.070,91.046875,,5,5,7,8,0,0,0
d1p2,ACCEPTED,25,100.00%,100.00%,2.400,241.7109375,,3,4,5,6,7,0,0
d1p3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.00%,0.040,0.00390625,,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,0,0.00%,12.29%,4.810,31.9765625,,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,3,12.00%,17.24%,4.810,1081.23046875,,3,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.050,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,100.00%,0.050,2.265625,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.050,1.5546875,,1,4,5,5,0,0,0
TOTAL,,160,,60.36%,,,56.25%,,,,,,,
