problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,RUNTIME_ERROR,6,52.50%,0.000,0,,3,3,0,0,0,0,0,0
s2,ACCEPTED,15,100.00%,0.040,0.00390625,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,2,15.48%,0.140,5.16796875,,2,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,3,20.59%,0.200,32.63671875,,3,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,4,57.81%,1.670,2.34375,,0,4,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,0.210,24.24609375,,3,3,4,4,4,7,0,0
d1p2,MEMORY_LIMIT_EXCEEDED,0,1.90%,0.990,393.0546875,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,4.81%,0.590,359.8828125,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,29.46%,0.040,1.70703125,,1,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,1.56%,0.080,13.671875,,0,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,5.66%,1.170,4.39453125,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,RUNTIME_ERROR,6,52.50%,0.000,0,,3,3,0,0,0,0,0,0
j5,RUNTIME_ERROR,6,72.22%,0.000,0,,2,2,2,0,0,0,0,0
TOTAL,,113,50.91%,,,31.25%,,,,,,,,
