problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,RUNTIME_ERROR,6,40.00%,50.00%,0.040,0.00390625,,3,3,0,0,0,0,0,0
s2,TIME_LIMIT_EXCEEDED,5,33.33%,38.71%,1.220,0.00390625,,5,0,0,0,0,0,0,0
s3,RUNTIME_ERROR,0,0.00%,1.19%,0.040,5.1640625,,0,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,1.47%,0.040,1.5546875,,0,0,0,0,0,0,0,0
s5,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
d1p1,RUNTIME_ERROR,0,0.00%,2.86%,0.080,6.71484375,,0,0,0,0,0,0,0,0
d1p2,RUNTIME_ERROR,0,0.00%,0.95%,0.080,5.1640625,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,4.81%,0.140,5.23046875,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,29.46%,0.050,1.96875,,0,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.00%,1.56%,0.090,20.39453125,,0,0,0,0,0,0,0,0
d2p3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,RUNTIME_ERROR,6,40.00%,52.50%,0.040,0,,3,3,0,0,0,0,0,0
j5,RUNTIME_ERROR,0,0.00%,11.11%,0.040,0,,0,0,0,0,0,0,0,0
TOTAL,,62,,30.91%,,,18.75%,,,,,,,,
