problem,model,status,score,%test passed,time,memory
2024-sp_Fish_3,Qwen3-14B,TIME_LIMIT_EXCEEDED,0,14.10%,2.410,3.62109375
2024-sp_Ski_2,Qwen3-14B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Spy_3,Qwen3-14B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Board_Game,Qwen3-14B,RUNTIME_ERROR,3,8.07%,0.160,4.64453125
2024-sp_Tricolor_Lights,Qwen3-14B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Qwen3-14B,RUNTIME_ERROR,0,27.62%,0.140,37.3203125
2024-sp_Card_Collection,Qwen3-14B,RUNTIME_ERROR,0,3.10%,0.000,0
2024-sp_JOI_Tour,Qwen3-14B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Tower,Qwen3-14B,RUNTIME_ERROR,5,52.63%,0.940,334.63671875
2024-sp_Escape_Route_2,Qwen3-14B,RUNTIME_ERROR,0,4.59%,0.500,2.46484375
2024-sp_Island_Hopping,Qwen3-14B,RUNTIME_ERROR,2,4.31%,0.020,1.484375
2024-sp_Table_Tennis,Qwen3-14B,RUNTIME_ERROR,0,10.26%,0.180,0.00390625
