problem,model,status,score,%test passed,time,memory
2024-sp_Fish_3,Qwen2.5-72B,RUNTIME_ERROR,0,0.00%,0.060,5.94140625
2024-sp_Ski_2,Qwen2.5-72B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Spy_3,Qwen2.5-72B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Board_Game,Qwen2.5-72B,TIME_LIMIT_EXCEEDED,0,2.56%,4.470,3.875
2024-sp_Tricolor_Lights,Qwen2.5-72B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Qwen2.5-72B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Card_Collection,Qwen2.5-72B,RUNTIME_ERROR,0,3.10%,0.000,0
2024-sp_JOI_Tour,Qwen2.5-72B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Tower,Qwen2.5-72B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Escape_Route_2,Qwen2.5-72B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Island_Hopping,Qwen2.5-72B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Table_Tennis,Qwen2.5-72B,RUNTIME_ERROR,9,74.82%,0.180,19.60546875
