problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,100.00%,0.120,5.109375,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.040,1.8125,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,2.00%,0.100,15.4765625,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,0.00%,12.39%,0.060,2.84375,,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,1.130,107.765625,,5,5,7,8,0,0,0
d1p2,TIME_LIMIT_EXCEEDED,4,16.00%,29.41%,4.840,185.69140625,,0,4,0,0,0,0,0
d1p3,RUNTIME_ERROR,1,4.00%,4.27%,0.140,18.51953125,,1,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.00%,0.040,1.54296875,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.00%,0.56%,0.070,18.5703125,,0,0,0,0,0,0,0
d2p3,MEMORY_LIMIT_EXCEEDED,3,12.00%,18.39%,0.490,23.28125,,3,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.060,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,100.00%,0.050,2.55078125,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.050,1.546875,,1,4,5,5,0,0,0
TOTAL,,138,,54.19%,,,50.00%,,,,,,,
