problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,TIME_LIMIT_EXCEEDED,17,18.75%,1.110,4.90625,,0,17,0,0,0
milano,RUNTIME_ERROR,0,9.52%,0.070,3.62109375,,0,0,0,0,0
restorani,RUNTIME_ERROR,0,1.37%,0.080,18.3125,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zlagalica,ACCEPTED,50,100.00%,0.030,0,,17,12,12,9,0
bitovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
piratski,WRONG_ANSWER,0,0.00%,0.030,1.55859375,,0,0,0,0,0
rolete,TIME_LIMIT_EXCEEDED,0,0.00%,2.210,2.84375,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.030,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.050,2.84765625,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,3.85%,0.000,0,,0,0,0,0,0
putovanje,RUNTIME_ERROR,0,0.00%,0.040,4.20703125,,0,0,0,0,0
roboti,TIME_LIMIT_EXCEEDED,13,34.09%,2.210,557.39453125,,0,13,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.050,6.19140625,,7,16,22,25,0
dizalo,RUNTIME_ERROR,0,0.00%,0.050,3.77734375,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,0.060,35.84375,,17,10,26,15,42
zatopljenje,RUNTIME_ERROR,20,25.00%,0.120,12.0390625,,0,20,0,0,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,RUNTIME_ERROR,24,37.50%,0.060,0.00390625,,11,13,0,0,0
an2dl,ACCEPTED,110,100.00%,1.130,99.0078125,,12,17,25,56,0
kocke,TIME_LIMIT_EXCEEDED,0,13.33%,2.210,192.59765625,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,56.78%,3.310,8.26953125,,13,17,0,0,0
TOTAL,,714,44.01%,,,36.00%,,,,,
