Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,404.00,71.75%,73.64%,68.75%,0.143,26.58,32
gpt-oss-120b-high,403.00,71.12%,72.94%,65.62%,0.135,18.86,32
grok-4-fast-reasoning,345.00,63.46%,66.66%,56.25%,0.486,28.51,32
gpt-oss-120b-medium,343.00,61.88%,64.69%,59.38%,0.190,54.46,32
gemini-2.5-pro,326.00,60.58%,65.40%,56.25%,0.780,124.92,32
gpt-o3-mini-high,320.00,59.33%,62.23%,56.25%,0.435,13.45,32
gpt-oss-20b-high,315.00,66.90%,70.14%,64.29%,0.175,21.99,28
gpt-oss-120b_sp3,315.00,57.04%,59.08%,53.12%,0.143,17.42,32
gpt-oss-120b_sp4,313.00,56.62%,59.89%,50.00%,0.113,18.99,32
gpt-oss-120b_sp2,311.00,58.04%,61.77%,56.25%,0.150,19.61,32
gpt-oss-120b-low,311.00,58.38%,62.11%,56.25%,0.270,15.93,32
gpt-oss-120b_sp1,302.00,56.00%,59.65%,53.12%,0.146,13.91,32
deepseek-reasoner,297.00,55.12%,58.22%,53.12%,0.599,10.88,32
gemini-2.5-flash,292.00,54.08%,58.28%,50.00%,0.742,89.48,32
gpt-oss-20b-low,281.00,53.72%,57.20%,51.61%,0.180,7.80,31
gpt-oss-20b-medium,281.00,52.04%,55.42%,46.88%,0.153,16.09,32
Qwen3-32B,280.00,52.50%,56.01%,46.88%,0.584,22.06,32
seed-oss_-1,276.00,51.00%,55.55%,46.88%,0.443,16.64,32
claude-sonnet-4.5,266.00,51.61%,56.47%,45.16%,1.086,103.54,31
OpenCodeReasoning-Nemotron-32B-IOI,263.00,50.12%,53.51%,46.88%,0.593,15.37,32
Qwen3-8B,253.00,47.79%,50.58%,40.62%,0.152,10.29,32
Qwen3-14B,251.00,47.12%,51.76%,40.62%,0.740,17.49,32
seed-oss_8192,250.00,,50.93%,41.94%,0.432,35.44,31
gpt-4.1,246.00,47.42%,50.50%,43.75%,0.684,18.18,32
Qwen3-30B,243.00,46.38%,51.36%,40.62%,0.559,43.80,32
deepseek-chat,218.00,44.56%,48.68%,41.94%,0.502,37.45,31
DeepSeek-R1-Distill-Llama-70B,207.00,40.54%,43.32%,37.50%,0.474,17.50,32
OlympicCoder-7B,204.00,40.00%,44.47%,34.38%,0.094,40.27,32
Qwen3-4B,197.00,39.38%,47.68%,31.25%,0.771,84.72,32
Mistral-Large-Instruct-2411,175.00,35.54%,38.91%,28.12%,0.315,7.49,32
Qwen2.5-Coder-14B-Instruct,172.00,36.56%,40.02%,29.03%,0.671,46.35,31
Qwen3-32B-Non-Thinking,172.00,35.42%,39.51%,28.12%,0.300,46.69,32
Qwen2.5-72B,170.00,36.04%,40.28%,29.03%,0.465,95.12,31
Llama-4-Scout,158.00,32.92%,35.75%,28.12%,0.222,3.25,32
Codestral-22B-v0.1,156.00,32.33%,35.02%,28.12%,0.088,4.02,32
Qwen3-30B-Non-Thinking,152.00,32.17%,36.51%,25.81%,0.480,100.27,31
Mistral-Small-3.1-24B-2503,150.00,31.17%,33.26%,28.12%,0.475,6.69,32
Qwen3-4B-Non-Thinking,149.00,31.04%,33.76%,28.12%,0.378,45.93,32
Llama-3.3-70B-Instruct,145.00,29.71%,34.08%,25.00%,0.593,8.90,32
Qwen3-8B-Non-Thinking,145.00,29.04%,31.96%,21.88%,0.701,51.52,32
Qwen2.5-Coder-7B-Instruct,130.00,26.58%,29.90%,18.75%,0.458,14.23,32
Llama-3.1-8B-Instruct,123.00,25.54%,27.62%,21.88%,0.323,6.49,32
DeepSeek-Coder-V2-Lite-Instruct,121.00,24.71%,28.71%,18.75%,0.803,48.20,32
DeepSeek-R1-Distill-Llama-8B,117.00,24.38%,23.90%,21.88%,0.018,0.39,32
Qwen3-14B-Non-Thinking,47.00,14.24%,15.85%,9.09%,0.107,56.24,22
seed-oss_16384,45.00,,75.00%,75.00%,0.010,0.00,4
seed-oss_0,30.00,,100.00%,100.00%,0.010,0.00,2
seed-oss_1024,30.00,,100.00%,100.00%,0.010,0.00,2
seed-oss_2048,30.00,,100.00%,100.00%,0.015,0.00,2
DeepSeek-R1-Distill-Qwen-7B,30.00,25.00%,25.00%,25.00%,0.005,0.00,8
seed-oss_512,15.00,,100.00%,100.00%,0.000,0.00,1
seed-oss_4096,15.00,,100.00%,100.00%,0.020,0.00,1
DeepSeek-R1-Distill-Qwen-14B,2.00,3.33%,3.77%,0.00%,0.045,3.81,4
DeepSeek-R1-Distill-Qwen-32B,2.00,3.33%,3.77%,0.00%,0.062,5.41,4
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,0.00%,0.00%,0.022,0.91,4
QwQ-32B,0.00,0.00%,1.10%,0.00%,0.035,5.23,4
