problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.000,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.020,0,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.020,0.00390625,,0,0,0,0,0,0
stablo,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,0.140,2.5859375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,0.280,12.90234375,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,0,8.51%,2.420,2.61328125,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,0.940,127.37109375,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,0.030,1.8125,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.060,8.48046875,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.020,1.8125,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,10,71.79%,0.020,0,,10,0,0,0,0,0
igre,ACCEPTED,70,100.00%,0.080,1.55859375,,6,13,23,28,0,0
razlicitost,TIME_LIMIT_EXCEEDED,47,74.42%,2.430,193.625,,25,13,9,0,0,0
blistavost,MEMORY_LIMIT_EXCEEDED,100,75.41%,0.580,1227.59765625,,20,25,55,0,0,0
trokuti,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.020,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.090,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.130,3.62109375,,7,12,16,15,23,17
uciteljica,TIME_LIMIT_EXCEEDED,0,3.28%,5.970,1.55859375,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,3.23%,0.020,0.00390625,,0,0,0,0,0,0
TOTAL,,957,54.35%,,,44.00%,,,,,,
