problem_id,model,solution_file,status,score,relative_score,tests_passed,execution_time,memory_usage
APIO-2023-contest-abc,DeepSeek-Coder-V2-Lite-Instruct,abc_DeepSeek-Coder-V2-Lite-Instruct_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.080,6.67578125
APIO-2023-contest-abc,DeepSeek-Coder-V2-Lite-Instruct,abc_DeepSeek-Coder-V2-Lite-Instruct_1.cpp,RUNTIME_ERROR,4,4.00%,16.00%,0.080,7.109375
APIO-2023-contest-abc,DeepSeek-Coder-V2-Lite-Instruct,abc_DeepSeek-Coder-V2-Lite-Instruct_2.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.200,5.296875
APIO-2023-contest-abc,DeepSeek-Coder-V2-Lite-Instruct,abc_DeepSeek-Coder-V2-Lite-Instruct_3.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.060,5.15625
APIO-2023-contest-abc,DeepSeek-Coder-V2-Lite-Instruct,abc_DeepSeek-Coder-V2-Lite-Instruct_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
APIO-2023-contest-abc,DeepSeek-Coder-V2-Lite-Instruct,abc_DeepSeek-Coder-V2-Lite-Instruct_5.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.130,12.29296875
APIO-2023-contest-abc,DeepSeek-Coder-V2-Lite-Instruct,abc_DeepSeek-Coder-V2-Lite-Instruct_6.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.120,12.25
APIO-2023-contest-abc,DeepSeek-Coder-V2-Lite-Instruct,abc_DeepSeek-Coder-V2-Lite-Instruct_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.140,12.25
APIO-2023-contest-cyberland,DeepSeek-Coder-V2-Lite-Instruct,cyberland_DeepSeek-Coder-V2-Lite-Instruct_0.cpp,UNKNOWN,0,0.00%,0.00%,0.000,0
APIO-2023-contest-cyberland,DeepSeek-Coder-V2-Lite-Instruct,cyberland_DeepSeek-Coder-V2-Lite-Instruct_1.cpp,UNKNOWN,0,0.00%,0.00%,0.000,0
APIO-2023-contest-cyberland,DeepSeek-Coder-V2-Lite-Instruct,cyberland_DeepSeek-Coder-V2-Lite-Instruct_2.cpp,UNKNOWN,0,0.00%,0.00%,0.000,0
APIO-2023-contest-cyberland,DeepSeek-Coder-V2-Lite-Instruct,cyberland_DeepSeek-Coder-V2-Lite-Instruct_3.cpp,UNKNOWN,0,0.00%,0.00%,0.000,0
APIO-2023-contest-cyberland,DeepSeek-Coder-V2-Lite-Instruct,cyberland_DeepSeek-Coder-V2-Lite-Instruct_4.cpp,RUNTIME_ERROR,20,20.00%,23.17%,0.160,3.359375
APIO-2023-contest-cyberland,DeepSeek-Coder-V2-Lite-Instruct,cyberland_DeepSeek-Coder-V2-Lite-Instruct_5.cpp,UNKNOWN,0,0.00%,0.00%,0.000,0
APIO-2023-contest-cyberland,DeepSeek-Coder-V2-Lite-Instruct,cyberland_DeepSeek-Coder-V2-Lite-Instruct_6.cpp,UNKNOWN,0,0.00%,0.00%,0.000,0
APIO-2023-contest-cyberland,DeepSeek-Coder-V2-Lite-Instruct,cyberland_DeepSeek-Coder-V2-Lite-Instruct_7.cpp,UNKNOWN,0,0.00%,0.00%,0.000,0
APIO-2023-contest-sequence,DeepSeek-Coder-V2-Lite-Instruct,sequence_DeepSeek-Coder-V2-Lite-Instruct_0.cpp,TIME_LIMIT_EXCEEDED,11,11.00%,44.92%,1.810,4.7578125
APIO-2023-contest-sequence,DeepSeek-Coder-V2-Lite-Instruct,sequence_DeepSeek-Coder-V2-Lite-Instruct_1.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,7.06%,1.810,6.44140625
APIO-2023-contest-sequence,DeepSeek-Coder-V2-Lite-Instruct,sequence_DeepSeek-Coder-V2-Lite-Instruct_2.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,13.48%,1.840,33.25390625
APIO-2023-contest-sequence,DeepSeek-Coder-V2-Lite-Instruct,sequence_DeepSeek-Coder-V2-Lite-Instruct_3.cpp,TIME_LIMIT_EXCEEDED,11,11.00%,44.92%,1.840,4.7578125
