competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,211,952,7625,1090,3533,8282,791,1468
APIO-2023,0,0,8,0,7,9,0,0
APIO-2024,0,0,1,0,18,4,0,1
BOI-2023,0,0,7,1,6,34,0,0
BOI-2024,0,0,11,4,1,32,0,0
BOI-2025,0,0,6,1,4,33,1,3
CCO-2023,12,0,36,0,9,47,0,24
CCO-2024,10,0,28,1,9,47,0,33
CEOI-2023,0,0,17,4,11,14,1,1
CEOI-2024,0,0,12,0,4,32,0,0
COCI-2023,0,0,0,0,0,0,0,0
COCI-2024,3,0,52,4,9,111,0,21
COCI-2025,0,0,44,10,20,91,16,19
EGOI-2023,0,0,9,0,4,40,10,1
EGOI-2024,0,0,1,1,3,51,8,0
EJOI-2023,0,0,24,1,13,9,1,0
EJOI-2024,0,0,23,0,10,15,0,0
IATI-2024,0,1,33,3,7,26,13,5
IOI-2023,0,0,8,0,20,20,0,0
IOI-2024,0,0,18,5,12,12,0,1
JOI-2023,0,0,41,0,38,72,0,9
JOI-2024,0,0,16,9,65,65,2,3
NOINordic-2023,0,0,5,3,0,14,2,0
NOINordic-2024,0,0,11,0,0,10,0,3
NOINordic-2025,0,0,16,0,3,2,0,3
OOI-2023,0,0,40,15,1,55,14,11
OOI-2024,1,0,55,5,0,53,18,4
RMI-2023,0,0,1,0,36,4,4,3
RMI-2024,0,0,7,1,9,22,9,0
USACO-2023,0,50,150,30,38,104,1,11
USACO-2024,0,52,180,24,45,68,0,15
USACO-2025,0,16,125,21,74,34,0,18
