competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,DeepSeek-Coder-V2-Lite-Instruct,2855,9.81%,0.59,64.86,1.79%
APIO-2023,DeepSeek-Coder-V2-Lite-Instruct,35,28.03%,0.68,5.08,0.00%
APIO-2024,DeepSeek-Coder-V2-Lite-Instruct,0,0.00%,0.00,0.00,0.00%
BOI-2023,DeepSeek-Coder-V2-Lite-Instruct,9,12.86%,0.02,1.63,0.00%
BOI-2024,DeepSeek-Coder-V2-Lite-Instruct,0,2.63%,0.27,5.88,0.00%
BOI-2025,DeepSeek-Coder-V2-Lite-Instruct,0,1.82%,0.10,57.92,0.00%
CCO-2023,DeepSeek-Coder-V2-Lite-Instruct,63,30.77%,0.82,78.71,18.75%
CCO-2024,DeepSeek-Coder-V2-Lite-Instruct,58,26.66%,0.78,17.69,18.75%
CEOI-2023,DeepSeek-Coder-V2-Lite-Instruct,0,1.56%,0.06,2.02,0.00%
CEOI-2024,DeepSeek-Coder-V2-Lite-Instruct,0,6.53%,0.54,7.57,0.00%
COCI-2023,DeepSeek-Coder-V2-Lite-Instruct,183,13.29%,0.57,28.92,4.00%
COCI-2024,DeepSeek-Coder-V2-Lite-Instruct,305,19.93%,0.80,29.51,8.00%
COCI-2025,DeepSeek-Coder-V2-Lite-Instruct,180,14.39%,0.63,11.67,0.00%
EGOI-2023,DeepSeek-Coder-V2-Lite-Instruct,28,9.22%,0.49,1.19,0.00%
EGOI-2024,DeepSeek-Coder-V2-Lite-Instruct,16,8.87%,0.03,0.36,0.00%
EJOI-2023,DeepSeek-Coder-V2-Lite-Instruct,0,0.77%,0.39,400.60,0.00%
EJOI-2024,DeepSeek-Coder-V2-Lite-Instruct,24,13.45%,1.36,4.06,0.00%
IATI-2024,DeepSeek-Coder-V2-Lite-Instruct,0,0.69%,0.23,1.66,0.00%
IOI-2023,DeepSeek-Coder-V2-Lite-Instruct,0,3.04%,0.34,7.68,0.00%
IOI-2024,DeepSeek-Coder-V2-Lite-Instruct,22,12.23%,0.38,811.98,0.00%
JOI-2023,DeepSeek-Coder-V2-Lite-Instruct,0,9.37%,0.34,7.44,0.00%
JOI-2024,DeepSeek-Coder-V2-Lite-Instruct,24,4.47%,0.32,4.94,0.00%
NOINordic-2023,DeepSeek-Coder-V2-Lite-Instruct,37,14.71%,2.05,0.95,0.00%
NOINordic-2024,DeepSeek-Coder-V2-Lite-Instruct,0,0.65%,0.18,3.27,0.00%
NOINordic-2025,DeepSeek-Coder-V2-Lite-Instruct,0,1.37%,2.04,408.36,0.00%
OOI-2023,DeepSeek-Coder-V2-Lite-Instruct,142,14.81%,0.51,1.42,0.00%
OOI-2024,DeepSeek-Coder-V2-Lite-Instruct,263,22.63%,1.35,16.37,5.88%
RMI-2023,DeepSeek-Coder-V2-Lite-Instruct,0,2.68%,0.35,9.10,0.00%
RMI-2024,DeepSeek-Coder-V2-Lite-Instruct,11,11.69%,0.45,1.23,0.00%
USACO-2023,DeepSeek-Coder-V2-Lite-Instruct,434,3.66%,0.51,9.24,0.00%
USACO-2024,DeepSeek-Coder-V2-Lite-Instruct,719,6.70%,0.86,48.47,0.00%
USACO-2025,DeepSeek-Coder-V2-Lite-Instruct,302,4.67%,0.75,25.87,0.00%
