problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.300,5.28515625,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.080,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,2.00%,0.130,13.65625,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,2.65%,0.470,6.58203125,,0,0,0,0,0,0,0
d1p1,TIME_LIMIT_EXCEEDED,5,23.21%,4.420,99.5234375,,5,0,0,0,0,0,0
d1p2,RUNTIME_ERROR,0,0.00%,0.430,85.328125,,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,1,5.13%,0.200,18.078125,,1,0,0,0,0,0,0
d2p1,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.00%,0.070,5.16796875,,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,1.15%,4.410,5.44140625,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,RUNTIME_ERROR,0,40.00%,0.000,0,,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.090,0.00390625,,6,7,2,0,0,0,0
j4,RUNTIME_ERROR,3,16.13%,0.060,1.55078125,,3,0,0,0,0,0,0
j5,ACCEPTED,15,100.00%,0.060,1.55078125,,1,4,5,5,0,0,0
TOTAL,,84,36.89%,,,31.25%,,,,,,,
