competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,1487,1686,3025,503,6588,6455,976,344
APIO-2023,0,0,7,0,3,14,0,0
APIO-2024,0,0,2,1,14,7,0,0
BOI-2023,0,0,4,1,14,29,0,0
BOI-2024,0,0,4,0,23,20,0,1
BOI-2025,0,0,10,0,11,22,4,1
CCO-2023,25,0,28,1,39,32,2,1
CCO-2024,50,0,7,1,19,40,3,8
CEOI-2023,0,0,3,1,14,28,1,1
CEOI-2024,0,0,7,1,22,18,0,0
COCI-2023,29,0,9,2,59,91,7,3
COCI-2024,27,5,26,3,76,61,0,2
COCI-2025,24,0,12,2,80,68,12,2
EGOI-2023,3,0,3,0,8,33,16,1
EGOI-2024,0,0,0,1,20,36,7,0
EJOI-2023,0,0,25,0,16,4,3,0
EJOI-2024,2,0,12,1,19,14,0,0
IATI-2024,1,8,23,7,18,23,6,2
IOI-2023,0,0,3,0,7,38,0,0
IOI-2024,0,0,8,1,9,25,0,5
JOI-2023,3,0,14,1,47,87,3,5
JOI-2024,1,0,8,3,71,66,1,10
JOI-2025,3,0,4,2,15,16,0,0
NOINordic-2023,3,0,5,2,5,5,4,0
NOINordic-2024,0,0,3,0,1,19,1,0
NOINordic-2025,1,0,6,0,11,6,0,0
OOI-2023,8,0,37,8,4,47,29,3
OOI-2024,7,0,30,0,0,59,37,3
RMI-2023,0,0,1,1,38,1,7,0
RMI-2024,1,0,6,1,12,18,5,5
USACO-2023,36,87,55,18,135,51,0,2
USACO-2024,16,86,63,10,130,76,0,3
USACO-2025,11,57,42,10,129,37,0,2
