solution,status,score,%test passed,time,memory,subtask_0,subtask_1,subtask_10,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
platinum_Min_Max_Subarrays_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Min_Max_Subarrays_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Min_Max_Subarrays_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Min_Max_Subarrays_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Min_Max_Subarrays_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Min_Max_Subarrays_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Min_Max_Subarrays_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Min_Max_Subarrays_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Min_Max_Subarrays_Qwen3-32B-Non-Thinking_3.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,3.320,5.109375,0,0,0,0,0,0,0,0,0,0,0
platinum_Min_Max_Subarrays_Qwen3-32B-Non-Thinking_4.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,3.310,5.109375,0,0,0,0,0,0,0,0,0,0,0
platinum_Min_Max_Subarrays_Qwen3-32B-Non-Thinking_5.cpp,TIME_LIMIT_EXCEEDED,0,7.69%,3.340,5.16796875,0,0,0,0,0,0,0,0,0,0,0
platinum_Min_Max_Subarrays_Qwen3-32B-Non-Thinking_6.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,3.330,9.03515625,0,0,0,0,0,0,0,0,0,0,0
