problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,gpt-oss-120b-low,RUNTIME_ERROR,0,0.00%,9.21%,0.280,25.2734375
2024-sp_Ski_2,gpt-oss-120b-low,RUNTIME_ERROR,0,0.00%,4.20%,0.170,2.06640625
2024-sp_Spy_3,gpt-oss-120b-low,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,gpt-oss-120b-low,RUNTIME_ERROR,3,3.00%,8.70%,0.180,3.87109375
2024-sp_Tricolor_Lights,gpt-oss-120b-low,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,gpt-oss-120b-low,TIME_LIMIT_EXCEEDED,9,9.00%,71.43%,5.980,21.921875
2024-sp_Card_Collection,gpt-oss-120b-low,RUNTIME_ERROR,0,0.00%,6.06%,0.000,0
2024-sp_JOI_Tour,gpt-oss-120b-low,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tower,gpt-oss-120b-low,RUNTIME_ERROR,0,0.00%,0.00%,0.170,3.1015625
2024-sp_Escape_Route_2,gpt-oss-120b-low,TIME_LIMIT_EXCEEDED,14,14.00%,46.79%,2.410,709.5078125
2024-sp_Island_Hopping,gpt-oss-120b-low,RUNTIME_ERROR,2,2.00%,3.45%,0.450,4.20703125
2024-sp_Table_Tennis,gpt-oss-120b-low,RUNTIME_ERROR,5,5.00%,44.35%,0.240,37.6484375
