competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gemini-2.5-pro,40598,63.48%,0.91,107.71,36.41%
APIO-2023,gemini-2.5-pro,203,78.08%,1.71,121.75,0.00%
APIO-2024,gemini-2.5-pro,105,42.86%,0.50,9.94,33.33%
BOI-2023,gemini-2.5-pro,181,74.46%,1.42,207.61,16.67%
BOI-2024,gemini-2.5-pro,390,71.26%,0.56,77.06,50.00%
BOI-2025,gemini-2.5-pro,121,35.01%,1.43,64.10,0.00%
CCO-2023,gemini-2.5-pro,155,66.83%,0.29,156.51,56.25%
CCO-2024,gemini-2.5-pro,171,63.98%,1.27,93.32,56.25%
CEOI-2023,gemini-2.5-pro,180,42.38%,1.17,414.42,16.67%
CEOI-2024,gemini-2.5-pro,194,61.28%,1.47,389.89,0.00%
COCI-2023,gemini-2.5-pro,1721,80.62%,0.38,28.89,76.00%
COCI-2024,gemini-2.5-pro,1469,74.12%,0.64,24.52,64.00%
COCI-2025,gemini-2.5-pro,1615,79.26%,0.34,25.64,72.00%
EGOI-2023,gemini-2.5-pro,236,34.03%,0.13,61.17,25.00%
EGOI-2024,gemini-2.5-pro,364,55.27%,0.23,17.54,37.50%
EJOI-2023,gemini-2.5-pro,203,45.18%,0.70,71.11,16.67%
EJOI-2024,gemini-2.5-pro,426,84.98%,0.68,36.66,50.00%
IATI-2024,gemini-2.5-pro,657,59.16%,0.67,31.69,36.36%
IOI-2023,gemini-2.5-pro,160,42.57%,1.74,413.79,0.00%
IOI-2024,gemini-2.5-pro,134,50.02%,1.42,419.38,0.00%
JOI-2023,gemini-2.5-pro,626,58.66%,1.24,27.90,21.05%
JOI-2024,gemini-2.5-pro,535,49.17%,1.19,96.23,10.00%
JOI-2025,gemini-2.5-pro,249,79.30%,1.65,33.14,50.00%
NOINordic-2023,gemini-2.5-pro,241,85.99%,0.61,64.62,66.67%
NOINordic-2024,gemini-2.5-pro,154,70.42%,0.87,88.03,33.33%
NOINordic-2025,gemini-2.5-pro,300,100.00%,0.57,60.60,100.00%
OOI-2023,gemini-2.5-pro,935,68.99%,1.45,123.26,35.29%
OOI-2024,gemini-2.5-pro,1004,70.25%,1.11,70.14,35.29%
RMI-2023,gemini-2.5-pro,295,72.24%,0.85,27.00,33.33%
RMI-2024,gemini-2.5-pro,154,40.69%,0.66,32.87,16.67%
USACO-2023,gemini-2.5-pro,11215,72.23%,0.71,53.21,62.50%
USACO-2024,gemini-2.5-pro,9945,65.87%,0.73,71.96,50.00%
USACO-2025,gemini-2.5-pro,6260,56.33%,0.78,32.70,44.44%
