competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,7362,1801,5556,896,1986,6304,535,0
APIO-2023,0,0,11,1,4,8,0,0
APIO-2024,2,0,10,0,8,4,0,0
BOI-2023,2,0,13,0,5,28,0,0
BOI-2024,21,0,4,0,1,22,0,0
BOI-2025,0,0,17,6,3,22,0,0
CCO-2023,52,0,20,2,1,53,0,0
CCO-2024,69,0,20,1,7,29,2,0
CEOI-2023,4,0,13,1,9,21,0,0
CEOI-2024,0,0,14,1,11,22,0,0
COCI-2023,110,1,32,4,5,42,6,0
COCI-2024,100,2,40,1,13,44,0,0
COCI-2025,122,0,19,2,5,36,16,0
EGOI-2023,16,0,2,3,1,33,9,0
EGOI-2024,10,0,10,1,1,36,6,0
EJOI-2023,1,0,22,0,13,12,0,0
EJOI-2024,16,0,10,0,7,15,0,0
IATI-2024,16,8,32,0,2,27,3,0
IOI-2023,0,0,14,1,1,30,0,0
IOI-2024,0,0,19,3,4,22,0,0
JOI-2023,13,0,41,2,16,79,1,0
JOI-2024,4,0,54,4,28,70,0,0
JOI-2025,14,0,8,2,1,7,0,0
NOINordic-2023,15,0,3,0,0,4,2,0
NOINordic-2024,8,0,12,0,1,3,0,0
NOINordic-2025,11,0,4,0,2,7,0,0
OOI-2023,24,0,44,13,0,43,12,0
OOI-2024,31,0,27,3,0,56,19,0
RMI-2023,9,0,8,0,4,27,0,0
RMI-2024,5,0,14,2,11,15,1,0
USACO-2023,170,92,74,17,12,19,0,0
USACO-2024,132,65,88,39,22,38,0,0
USACO-2025,98,67,65,9,10,39,0,0
