problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,claude-sonnet-4.5,TIME_LIMIT_EXCEEDED,9,9.00%,37.93%,2.410,5.94140625
2024-sp_Ski_2,claude-sonnet-4.5,TIME_LIMIT_EXCEEDED,0,0.00%,1.69%,2.410,0.00390625
2024-sp_Board_Game,claude-sonnet-4.5,MEMORY_LIMIT_EXCEEDED,3,3.00%,8.07%,2.000,1228.0546875
2024-sp_Growing_Vegetables_is_Fun_5,claude-sonnet-4.5,TIME_LIMIT_EXCEEDED,30,30.00%,76.69%,5.970,15.140625
2024-sp_Card_Collection,claude-sonnet-4.5,TIME_LIMIT_EXCEEDED,11,11.00%,70.38%,4.800,204.96484375
2024-sp_JOI_Tour,claude-sonnet-4.5,TIME_LIMIT_EXCEEDED,52,52.00%,55.41%,3.600,51.0625
2024-sp_Tower,claude-sonnet-4.5,TIME_LIMIT_EXCEEDED,5,5.00%,52.63%,2.410,201.33984375
2024-sp_Escape_Route_2,claude-sonnet-4.5,TIME_LIMIT_EXCEEDED,23,23.00%,51.32%,2.410,9.03125
2024-sp_Island_Hopping,claude-sonnet-4.5,RUNTIME_ERROR,2,2.00%,4.31%,0.020,1.546875
2024-sp_Table_Tennis,claude-sonnet-4.5,TIME_LIMIT_EXCEEDED,0,0.00%,10.66%,1.210,4.6484375
