problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,0.060,1.6796875,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.150,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,4.35%,0.060,0,,0,0,0,0,0,0
stablo,RUNTIME_ERROR,0,0.00%,14.71%,0.650,79.73046875,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.060,0,,21,13,16,0,0,0
zid,RUNTIME_ERROR,38,54.29%,94.44%,0.360,2.5859375,,17,21,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,61,67.78%,79.63%,2.410,9.03515625,,7,11,17,0,26,0
crtez,RUNTIME_ERROR,0,0.00%,8.51%,0.230,0.00390625,,0,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,15,12.50%,27.72%,4.210,171.0390625,,0,15,0,0,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.080,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.160,6.94921875,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.72%,0.060,1.80859375,,0,0,0,0,0,0
paradoks,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,29,41.43%,38.78%,0.090,1.55859375,,6,0,23,0,0,0
razlicitost,RUNTIME_ERROR,0,0.00%,0.00%,0.160,6.74609375,,0,0,0,0,0,0
blistavost,RUNTIME_ERROR,0,0.00%,8.20%,0.000,0,,0,0,0,0,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.96%,0.110,18.0546875,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.070,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.140,12.125,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.560,29.9140625,,7,12,16,15,23,17
uciteljica,TIME_LIMIT_EXCEEDED,0,0.00%,4.92%,5.930,1.5546875,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,0.00%,3.23%,0.000,0,,0,0,0,0,0,0
TOTAL,,606,,40.45%,,,28.00%,,,,,,
