problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,100.00%,0.120,3.62109375,,15,20,35,0,0
baltazar,TIME_LIMIT_EXCEEDED,15,13.64%,62.50%,4.810,64.00390625,,15,0,0,0,0
bomboni,ACCEPTED,110,100.00%,100.00%,0.200,18.56640625,,13,17,33,47,0
skrivaca,TIME_LIMIT_EXCEEDED,0,0.00%,2.13%,2.440,443.953125,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.000,0,,7,19,24,0,0
diskurs,ACCEPTED,70,100.00%,100.00%,0.200,12.58984375,,20,25,25,0,0
logaritam,ACCEPTED,110,100.00%,100.00%,0.050,0.00390625,,19,26,29,36,0
slasticarnica,RUNTIME_ERROR,21,19.09%,65.00%,0.220,1.8125,,21,0,0,0,0
zastave,ACCEPTED,110,100.00%,100.00%,0.120,1.81640625,,41,22,47,0,0
7krokods,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,26,7,0,0
zrinka,ACCEPTED,70,100.00%,100.00%,0.260,192.59765625,,15,20,15,20,0
bojanje,ACCEPTED,110,100.00%,100.00%,0.050,0.00390625,,30,40,40,0,0
mreza,ACCEPTED,110,100.00%,100.00%,0.910,112.0625,,21,29,60,0,0
vrsta,ACCEPTED,110,100.00%,100.00%,0.140,5.9375,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.050,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,RUNTIME_ERROR,0,0.00%,2.38%,0.360,10.8203125,,0,0,0,0,0
prijateljice,ACCEPTED,110,100.00%,100.00%,0.090,9.14453125,,20,30,60,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,100.00%,0.110,2.84765625,,15,20,35,0,0
berilij,RUNTIME_ERROR,45,40.91%,79.55%,0.270,19.90625,,15,0,30,0,0
iksevi,ACCEPTED,110,100.00%,100.00%,0.400,118.25390625,,15,55,40,0,0
neboderi,ACCEPTED,110,100.00%,100.00%,0.250,16.51171875,,11,22,27,18,32
TOTAL,,1601,,80.46%,,,72.00%,,,,,
