problem,model,status,score,%test passed,time,memory
2023-sp_Two_Currencies,Mistral-Large-Instruct-2411,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,Mistral-Large-Instruct-2411,RUNTIME_ERROR,0,13.33%,0.120,0
2023-sp_Passport,Mistral-Large-Instruct-2411,TIME_LIMIT_EXCEEDED,0,26.67%,2.210,4.390625
2023-sp_Belt_Conveyor,Mistral-Large-Instruct-2411,RUNTIME_ERROR,1,12.90%,0.660,5.76171875
2023-sp_Council,Mistral-Large-Instruct-2411,TIME_LIMIT_EXCEEDED,16,71.95%,3.610,18.57421875
2023-sp_Mizuyokan_2,Mistral-Large-Instruct-2411,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Chorus,Mistral-Large-Instruct-2411,RUNTIME_ERROR,0,6.67%,0.000,0
2023-sp_Cookies,Mistral-Large-Instruct-2411,RUNTIME_ERROR,0,8.89%,0.000,0
2023-sp_Tourism,Mistral-Large-Instruct-2411,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Super_Dango_Maker,Mistral-Large-Instruct-2411,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Security_Guard,Mistral-Large-Instruct-2411,RUNTIME_ERROR,0,5.95%,0.170,5.9375
2023-sp_Bitaro’s_travel,Mistral-Large-Instruct-2411,TIME_LIMIT_EXCEEDED,5,56.82%,2.360,6.04296875
