problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1j4,RUNTIME_ERROR,6,40.00%,52.50%,0.000,0,,3,3,0,0,0,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.040,1.55859375,,5,5,5,0,0,0,0
s3,RUNTIME_ERROR,0,0.00%,10.71%,0.080,38.421875,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,6,40.00%,32.35%,0.230,32.23046875,,0,6,0,0,0,0,0
s5,RUNTIME_ERROR,3,20.00%,28.12%,0.070,5.2890625,,3,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.090,9.03515625,,3,3,4,4,4,7,0
d1p2,RUNTIME_ERROR,0,0.00%,1.90%,0.570,53.375,,0,0,0,0,0,0,0
d1p3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,4.00%,29.46%,0.040,1.640625,,1,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,2,8.00%,9.38%,0.110,17.0234375,,2,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,0.00%,35.85%,1.210,5.94140625,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.000,0,,6,6,3,0,0,0,0
s1j4,RUNTIME_ERROR,6,40.00%,52.50%,0.000,0,,3,3,0,0,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,2,2,2,9,0,0,0
TOTAL,,124,,53.30%,,,37.50%,,,,,,,
