problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,100.00%,0.050,5.9375,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,100.00%,0.040,3.62109375,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,0.68%,0.080,42.546875,,0,0,0,0,0
cesta,ACCEPTED,110,100.00%,100.00%,0.770,123.54296875,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.00%,0.010,1.5546875,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,100.00%,0.030,1.55859375,,20,40,50,0,0
rolete,RUNTIME_ERROR,74,67.27%,63.27%,0.250,3.6171875,,16,26,32,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.010,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,100.00%,0.010,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,100.00%,0.020,4.39453125,,7,27,36,0,0
lepeze,ACCEPTED,110,100.00%,100.00%,0.320,11.3515625,,12,16,30,12,40
putovanje,TIME_LIMIT_EXCEEDED,65,59.09%,84.89%,2.420,5.5625,,10,20,35,0,0
roboti,RUNTIME_ERROR,61,55.45%,68.18%,0.330,50.5625,,10,13,0,38,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.010,6.1953125,,7,16,22,25,0
dizalo,TIME_LIMIT_EXCEEDED,64,58.18%,84.21%,3.610,23.57421875,,16,19,29,0,0
kuglice,ACCEPTED,110,100.00%,100.00%,0.080,17.68359375,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,100.00%,0.100,15.90234375,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.010,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,100.00%,0.010,2.06640625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,100.00%,1.210,99.0078125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,0.00%,13.33%,0.000,0,,0,0,0,0,0
mostovi,RUNTIME_ERROR,0,0.00%,0.73%,0.050,22.19921875,,0,0,0,0,0
TOTAL,,1564,,76.61%,,,64.00%,,,,,
