problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,ACCEPTED,50,100.00%,100.00%,0.010,0,,9,19,22,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.060,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.010,0.00390625,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.650,115.8203125,,21,37,22,40,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,100.00%,0.130,1.8125,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,0.280,12.90234375,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,20,16.67%,42.55%,2.420,2.953125,,20,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.490,87.33984375,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.040,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.060,9.234375,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,64,53.33%,32.26%,0.160,23.7265625,,0,27,37,0,0,0
tura,TIME_LIMIT_EXCEEDED,0,0.00%,12.95%,0.620,5.47265625,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,100.00%,0.050,1.55859375,,6,13,23,28,0,0
razlicitost,TIME_LIMIT_EXCEEDED,47,52.22%,74.42%,2.410,190.53125,,25,13,9,0,0,0
blistavost,ACCEPTED,120,100.00%,100.00%,0.020,1.55078125,,20,25,55,20,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.96%,0.020,1.8125,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.090,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.220,18.828125,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,0.00%,4.92%,0.020,1.5546875,,0,0,0,0,0,0
zbunjenost,ACCEPTED,120,100.00%,100.00%,0.220,84.37109375,,13,18,34,15,40,0
TOTAL,,1404,,71.95%,,,64.00%,,,,,,
