problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,3.77%,0.040,0,,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,2.25%,0.040,0,,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,0,0.00%,0.040,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,0.290,11.3515625,,0.0,13.0,10.0,7.0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,18.18%,0.110,10.8359375,,0.0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,10,14.29%,0.110,6.97265625,,0.0,0,0,0,10.0,0,0,0,0,0,0,0
Strong_Connectivity_Strikes_Back,RUNTIME_ERROR,66,57.26%,0.040,1.6796875,,0,0,0,0,0,12.0,13.0,20.0,21.0,0,0,0
Colorful_Diameter,MEMORY_LIMIT_EXCEEDED,21,46.52%,0.420,389.24609375,,0.0,10.0,0,0,0,11.0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,RUNTIME_ERROR,0,28.21%,0.040,0,,0.0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,53.94%,3.620,43.578125,,0.0,10.0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,RUNTIME_ERROR,0,63.57%,0.100,2.578125,,0.0,0,0,0,0,0,0,0,0,0,0,0
Stone_Enthusiast,RUNTIME_ERROR,0,5.04%,0.160,2.5546875,,0,0,0,0,0,0,0,0,0,0,0,0
Egors_Gaming_Addiction,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,227,23.12%,,,5.88%,,,,,,,,,,,,
