problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.020,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.860,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.030,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,11.11%,0.000,0,,0,0,0,0,0,0
zid,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
tornjevi,RUNTIME_ERROR,7,18.52%,0.120,24.24609375,,7,0,0,0,0,0
crtez,RUNTIME_ERROR,0,0.00%,0.020,4.390625,,0,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,15,26.73%,4.210,150.828125,,0,15,0,0,0,0
sah,RUNTIME_ERROR,32,63.24%,0.050,0.00390625,,13,19,0,0,0,0
benzinska,RUNTIME_ERROR,15,34.00%,0.060,4.390625,,15,0,0,0,0,0
xor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
tura,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,0,12.82%,0.030,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,29,38.78%,0.060,1.55859375,,6,0,23,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,25,37.21%,2.410,4.39453125,,25,0,0,0,0,0
blistavost,RUNTIME_ERROR,0,6.56%,0.030,0.00390625,,0,0,0,0,0,0
trokuti,RUNTIME_ERROR,13,25.96%,0.030,1.81640625,,13,0,0,0,0,0
osobna,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,ACCEPTED,70,100.00%,0.110,15.9921875,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.130,2.58984375,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,1.64%,0.020,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,0.00%,0.030,0.00390625,,0,0,0,0,0,0
TOTAL,,366,23.95%,,,12.00%,,,,,,
