Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,dizalo,dizalo_rel,kuglice,kuglice_rel,pahuljice,pahuljice_rel,pingvin,pingvin_rel,zatopljenje,zatopljenje_rel
gpt-5,450.00,,100.00%,100.00%,0.054,9.24,5,110.00,,110.00,,50.00,,70.00,,110.00,
gpt-oss-120b-high,404.00,,98.42%,80.00%,0.100,13.71,5,64.00,,110.00,,50.00,,70.00,,110.00,
gemini-2.5-flash,404.00,,91.58%,80.00%,0.714,14.00,5,64.00,,110.00,,50.00,,70.00,,110.00,
gemini-2.5-pro,404.00,,91.58%,80.00%,0.720,19.61,5,64.00,,110.00,,50.00,,70.00,,110.00,
gpt-oss-120b-medium,404.00,91.64%,91.58%,80.00%,0.764,7.56,5,64.00,58.18%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
seed-oss_-1,340.00,,80.00%,80.00%,0.040,14.24,5,0.00,,110.00,,50.00,,70.00,,110.00,
gpt-oss-20b-medium,340.00,,80.00%,80.00%,0.042,6.66,5,0.00,,110.00,,50.00,,70.00,,110.00,
gpt-oss-20b-high,340.00,,80.00%,80.00%,0.044,8.74,5,0.00,,110.00,,50.00,,70.00,,110.00,
seed-oss_16384,340.00,,80.00%,80.00%,0.048,12.15,5,0.00,,110.00,,50.00,,70.00,,110.00,
gpt-oss-120b-low,340.00,,80.00%,80.00%,0.050,7.33,5,0.00,,110.00,,50.00,,70.00,,110.00,
deepseek-reasoner,340.00,,80.00%,80.00%,0.062,12.28,5,0.00,,110.00,,50.00,,70.00,,110.00,
gpt-o3-mini-high,340.00,,80.00%,80.00%,0.064,10.78,5,0.00,,110.00,,50.00,,70.00,,110.00,
QwQ-32B,340.00,,80.00%,80.00%,0.066,12.80,5,0.00,,110.00,,50.00,,70.00,,110.00,
gpt-4.1,340.00,,80.00%,80.00%,0.096,17.50,5,0.00,,110.00,,50.00,,70.00,,110.00,
Qwen3-30B,340.00,,80.00%,80.00%,0.096,12.90,5,0.00,,110.00,,50.00,,70.00,,110.00,
seed-oss_8192,340.00,,80.00%,80.00%,0.154,31.82,5,0.00,,110.00,,50.00,,70.00,,110.00,
Qwen3-32B,340.00,,80.00%,80.00%,0.234,29.60,5,0.00,,110.00,,50.00,,70.00,,110.00,
Qwen3-8B,340.00,,80.00%,80.00%,0.236,33.24,5,0.00,,110.00,,50.00,,70.00,,110.00,
Qwen3-14B,340.00,,80.00%,80.00%,0.246,26.25,5,0.00,,110.00,,50.00,,70.00,,110.00,
seed-oss_4096,273.00,,68.92%,60.00%,0.208,25.63,5,0.00,,43.00,,50.00,,70.00,,110.00,
deepseek-chat,250.00,,65.00%,60.00%,0.056,11.57,5,0.00,,110.00,,50.00,,70.00,,20.00,
gpt-oss-20b-low,230.00,,62.43%,60.00%,0.040,7.25,5,0.00,,0.00,,50.00,,70.00,,110.00,
DeepSeek-R1-Distill-Llama-70B,230.00,,62.16%,60.00%,0.200,16.46,5,0.00,,0.00,,50.00,,70.00,,110.00,
Qwen3-4B,140.00,,53.64%,40.00%,0.614,46.50,5,0.00,,10.00,,50.00,,70.00,,10.00,
DeepSeek-R1-Distill-Qwen-32B,130.00,,48.50%,40.00%,0.460,19.02,5,0.00,,0.00,,50.00,,70.00,,10.00,
Mistral-Small-3.1-24B-2503,130.00,,49.58%,40.00%,0.462,1.19,5,0.00,,0.00,,50.00,,70.00,,10.00,
Qwen3-32B-Non-Thinking,130.00,,49.31%,40.00%,0.476,4.27,5,0.00,,0.00,,50.00,,70.00,,10.00,
Mistral-Large-Instruct-2411,130.00,,52.01%,40.00%,0.476,1.77,5,0.00,,0.00,,50.00,,70.00,,10.00,
Llama-4-Scout,130.00,,49.58%,40.00%,0.494,1.71,5,0.00,,0.00,,50.00,,70.00,,10.00,
Qwen3-8B-Non-Thinking,130.00,,49.04%,40.00%,0.534,103.28,5,0.00,,0.00,,50.00,,70.00,,10.00,
