problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,0.00%,0.00%,0.060,0.00390625,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.140,0.00390625,,18,11,24,17,0,0
stablo,RUNTIME_ERROR,0,0.00%,14.71%,0.340,47.1875,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.080,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.100,6.203125,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,27,22.50%,12.90%,0.160,13.67578125,,0,27,0,0,0,0
tura,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.140,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.230,16.7421875,,7,12,16,15,23,17
uciteljica,TIME_LIMIT_EXCEEDED,0,0.00%,14.75%,5.970,2.01953125,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,15,12.50%,33.87%,0.000,0,,0,0,0,15,0,0
TOTAL,,442,,48.30%,,,42.86%,,,,,,
