Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,761.00,84.56%,91.73%,77.78%,0.534,26.77,9
gpt-oss-120b-high,695.00,77.22%,86.32%,66.67%,0.551,48.04,9
gemini-2.5-pro,695.00,77.22%,85.47%,66.67%,0.686,71.08,9
grok-4-fast-reasoning,643.00,71.44%,83.75%,55.56%,1.282,36.38,9
gpt-oss-120b_sp3,634.00,70.44%,83.28%,66.67%,0.998,27.69,9
gpt-o3-mini-high,595.00,66.11%,76.16%,44.44%,1.400,47.25,9
gpt-oss-120b_sp2,591.00,65.67%,73.91%,55.56%,0.488,32.61,9
gemini-2.5-flash,584.00,64.89%,79.83%,55.56%,1.339,33.09,9
gpt-oss-20b-high,576.00,64.00%,64.81%,55.56%,0.623,28.36,9
gpt-oss-120b-medium,575.00,63.89%,72.18%,55.56%,0.977,36.38,9
claude-sonnet-4.5,548.00,60.89%,76.82%,44.44%,2.118,92.12,9
gpt-oss-120b_sp1,531.00,59.00%,65.70%,44.44%,0.924,93.09,9
seed-oss_-1,526.00,58.44%,67.93%,55.56%,1.280,52.76,9
gpt-oss-120b_sp4,516.00,57.33%,64.77%,44.44%,0.969,45.36,9
gpt-4.1,470.00,52.22%,67.99%,33.33%,1.823,56.36,9
deepseek-reasoner,439.00,48.78%,62.22%,44.44%,0.942,23.02,9
seed-oss_16384,429.00,,54.58%,44.44%,1.320,15.29,9
gpt-oss-20b-medium,427.00,47.44%,52.51%,44.44%,0.710,82.29,9
Qwen3-32B,411.00,45.67%,65.81%,33.33%,1.560,31.27,9
seed-oss_8192,409.00,,57.46%,44.44%,0.744,8.42,9
Qwen3-14B,404.00,44.89%,63.95%,33.33%,1.756,70.09,9
gpt-oss-20b-low,400.00,44.44%,52.01%,44.44%,1.382,6.38,9
Qwen3-30B,380.00,42.22%,58.81%,33.33%,1.636,9.41,9
OlympicCoder-7B,376.00,41.78%,49.66%,33.33%,1.634,34.41,9
QwQ-32B,322.00,35.78%,55.69%,22.22%,1.099,30.80,9
DeepSeek-R1-Distill-Llama-70B,322.00,35.78%,51.83%,22.22%,1.621,8.56,9
gpt-oss-120b-low,316.00,35.11%,49.42%,33.33%,0.543,47.96,9
seed-oss_4096,307.00,,40.14%,33.33%,0.761,5.47,9
deepseek-chat,305.00,33.89%,51.18%,22.22%,1.618,41.68,9
Qwen3-8B,269.00,29.89%,39.79%,11.11%,1.632,8.30,9
DeepSeek-R1-Distill-Qwen-32B,214.00,23.78%,38.87%,0.00%,2.244,38.66,9
Qwen3-32B-Non-Thinking,160.00,17.78%,35.83%,0.00%,1.549,99.98,9
DeepSeek-R1-Distill-Qwen-14B,158.00,17.56%,26.49%,0.00%,0.452,11.56,9
Qwen2.5-72B,142.00,15.78%,32.11%,11.11%,1.530,4.66,9
seed-oss_2048,135.00,,27.60%,11.11%,0.196,10.97,9
Llama-3.3-70B-Instruct,135.00,15.00%,35.45%,0.00%,2.287,47.61,9
Llama-4-Scout,130.00,14.44%,29.78%,11.11%,1.649,178.20,9
Qwen3-4B,118.00,13.11%,27.46%,0.00%,2.137,5.87,9
OpenCodeReasoning-Nemotron-32B-IOI,112.00,37.33%,58.66%,33.33%,0.777,107.69,3
Mistral-Small-3.1-24B-2503,107.00,11.89%,25.67%,11.11%,1.656,4.42,9
Qwen3-4B-Non-Thinking,100.00,11.11%,15.34%,11.11%,1.420,7.02,9
seed-oss_512,91.00,,27.05%,0.00%,0.222,44.17,9
Qwen3-14B-Non-Thinking,83.00,9.22%,21.01%,0.00%,1.708,6.91,9
Qwen2.5-Coder-14B-Instruct,64.00,7.11%,18.87%,0.00%,0.776,6.38,9
seed-oss_1024,60.00,,23.32%,0.00%,0.811,18.42,9
Mistral-Large-Instruct-2411,59.00,6.56%,23.36%,0.00%,1.564,182.40,9
Qwen3-8B-Non-Thinking,44.00,4.89%,11.64%,0.00%,1.329,111.71,9
DeepSeek-Coder-V2-Lite-Instruct,37.00,4.11%,5.58%,0.00%,1.424,137.53,9
Codestral-22B-v0.1,29.00,3.22%,13.76%,0.00%,0.157,10.65,9
Qwen3-30B-Non-Thinking,28.00,3.11%,11.36%,0.00%,1.409,4.82,9
Llama-3.1-8B-Instruct,24.00,2.67%,7.92%,0.00%,0.118,8.45,9
Qwen2.5-Coder-32B-Instruct,16.00,1.78%,16.37%,0.00%,1.978,8.72,9
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,9
seed-oss_0,0.00,,2.68%,0.00%,0.022,1.41,9
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.36%,0.00%,0.678,2.06,9
