problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,Qwen2.5-72B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,Qwen2.5-72B,RUNTIME_ERROR,0,0.00%,13.33%,0.140,0
2023-sp_Passport,Qwen2.5-72B,RUNTIME_ERROR,0,0.00%,9.43%,0.000,0
2023-sp_Belt_Conveyor,Qwen2.5-72B,RUNTIME_ERROR,1,1.00%,12.90%,0.740,19.03125
2023-sp_Council,Qwen2.5-72B,RUNTIME_ERROR,0,0.00%,13.91%,0.490,18.57421875
2023-sp_Mizuyokan_2,Qwen2.5-72B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Chorus,Qwen2.5-72B,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0
2023-sp_Cookies,Qwen2.5-72B,RUNTIME_ERROR,0,0.00%,15.97%,0.000,0
2023-sp_Tourism,Qwen2.5-72B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Super_Dango_Maker,Qwen2.5-72B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,Qwen2.5-72B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
