Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,five,five_rel,game,game_rel,lexgcd,lexgcd_rel,ones,ones_rel,travel,travel_rel
gpt-5,211.00,,35.90%,20.00%,0.524,30.10,5,100.00,,0.00,,38.00,,53.00,,20.00,
gpt-oss-120b-high,195.00,,36.66%,0.00%,0.528,111.77,5,81.00,,0.00,,69.00,,25.00,,20.00,
gemini-2.5-pro,168.00,,30.35%,0.00%,1.190,40.27,5,62.00,,8.00,,10.00,,68.00,,20.00,
gpt-oss-20b-medium,113.00,,23.16%,0.00%,0.796,14.11,5,62.00,,0.00,,6.00,,25.00,,20.00,
gpt-oss-20b-high,93.00,,18.78%,0.00%,0.384,38.53,5,62.00,,0.00,,6.00,,25.00,,0.00,
seed-oss_-1,92.00,,17.71%,0.00%,0.448,30.35,5,43.00,,0.00,,0.00,,29.00,,20.00,
gpt-o3-mini-high,88.00,,19.58%,0.00%,0.842,49.54,5,43.00,,0.00,,0.00,,25.00,,20.00,
gpt-oss-120b-medium,87.00,17.40%,20.31%,0.00%,0.350,39.35,5,62.00,62.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,0.00,0.00%
gemini-2.5-flash,59.00,,12.01%,0.00%,0.724,93.65,5,0.00,,0.00,,10.00,,29.00,,20.00,
Qwen2.5-Coder-32B-Instruct,56.00,,9.98%,0.00%,0.766,193.23,5,5.00,,0.00,,6.00,,25.00,,20.00,
seed-oss_8192,55.00,,10.06%,0.00%,0.628,9.20,5,0.00,,8.00,,0.00,,27.00,,20.00,
DeepSeek-R1-Distill-Llama-70B,53.00,,13.53%,0.00%,0.712,213.45,5,0.00,,8.00,,0.00,,25.00,,20.00,
Qwen3-32B-Non-Thinking,50.00,,9.82%,0.00%,0.444,133.56,5,5.00,,0.00,,0.00,,25.00,,20.00,
QwQ-32B,50.00,,10.63%,0.00%,0.472,8.23,5,5.00,,0.00,,0.00,,25.00,,20.00,
deepseek-chat,50.00,,10.84%,0.00%,0.536,70.03,5,5.00,,0.00,,0.00,,25.00,,20.00,
seed-oss_16384,50.00,,7.90%,0.00%,0.638,21.03,5,0.00,,0.00,,0.00,,30.00,,20.00,
gpt-oss-20b-low,45.00,,7.90%,0.00%,0.288,8.54,5,0.00,,0.00,,0.00,,25.00,,20.00,
deepseek-reasoner,45.00,,9.52%,0.00%,0.334,118.55,5,0.00,,0.00,,0.00,,25.00,,20.00,
Qwen2.5-Coder-14B-Instruct,45.00,,6.63%,0.00%,0.660,15.39,5,0.00,,0.00,,0.00,,25.00,,20.00,
Qwen3-30B,45.00,,7.90%,0.00%,0.666,20.41,5,0.00,,0.00,,0.00,,25.00,,20.00,
Qwen3-32B,45.00,,7.90%,0.00%,0.674,9.06,5,0.00,,0.00,,0.00,,25.00,,20.00,
DeepSeek-R1-Distill-Qwen-32B,45.00,,7.41%,0.00%,0.680,11.49,5,0.00,,0.00,,0.00,,25.00,,20.00,
