problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,0.00%,3.77%,0.110,4.84375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,0.00%,10.53%,0.100,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,4.00%,13.04%,0.130,4.62109375,,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.280,11.41015625,,0.0,13.0,10.0,7.0,0,0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,TIME_LIMIT_EXCEEDED,0,0.00%,12.38%,1.210,105.53515625,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,TIME_LIMIT_EXCEEDED,0,0.00%,12.28%,1.200,6.97265625,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.110,1.546875,,0.0,11.0,0,0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,21,21.00%,46.52%,8.410,17.28125,,0.0,10.0,0,0,0,0,0,0,11.0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,30.00%,55.64%,3.660,33.78125,,0.0,10.0,0,0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,38,38.00%,87.89%,2.420,147.796875,,0.0,8.0,0,0,0,0,0,7.0,0,0,0,6.0,7.0,10.0,0
Stone_Enthusiast,RUNTIME_ERROR,0,0.00%,6.67%,0.140,2.5546875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egors_Gaming_Addiction,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,ACCEPTED,100,100.00%,100.00%,0.180,11.63671875,,0.0,17.0,0,0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,393,,32.28%,,,17.65%,,,,,,,,,,,,,,,
