competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,1436,1696,2604,461,6634,5777,1065,3272
APIO-2023,0,0,5,0,4,10,1,4
APIO-2024,0,0,2,0,10,7,0,5
BOI-2023,0,0,1,0,2,8,0,5
BOI-2024,0,0,3,0,24,11,0,10
BOI-2025,0,0,3,1,10,16,3,15
CCO-2023,0,0,0,0,0,7,0,1
CCO-2024,0,0,3,0,7,11,3,0
CEOI-2023,0,0,0,0,14,6,0,4
CEOI-2024,0,0,0,0,8,0,0,0
COCI-2023,0,0,0,0,0,2,0,6
COCI-2024,0,0,2,0,0,1,0,5
COCI-2025,0,0,0,1,1,6,0,0
EGOI-2023,0,0,0,0,0,9,2,13
EGOI-2024,0,0,0,1,5,9,2,7
EJOI-2023,0,0,0,0,7,0,0,1
EJOI-2024,3,0,5,4,19,12,0,5
IATI-2024,0,8,19,1,17,32,4,7
IOI-2023,0,0,0,0,3,12,0,2
IOI-2024,0,0,0,0,0,10,0,6
JOI-2023,5,0,10,0,30,70,3,34
JOI-2024,2,0,13,3,62,58,0,22
NOINordic-2023,0,0,7,3,4,7,2,1
NOINordic-2024,0,0,0,0,6,11,4,3
NOINordic-2025,0,0,5,0,8,8,0,3
OOI-2023,1,0,5,2,0,0,0,8
OOI-2024,1,0,21,3,0,50,42,19
RMI-2023,0,0,6,2,13,18,5,4
RMI-2024,0,0,5,2,6,14,4,17
USACO-2023,38,74,63,12,108,50,0,39
USACO-2024,19,76,47,7,122,57,0,56
USACO-2025,11,51,33,6,113,36,0,38
