competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,DeepSeek-R1-Distill-Qwen-32B,13578,18.39%,0.57,13.38,4.33%
APIO-2023,DeepSeek-R1-Distill-Qwen-32B,55,26.35%,0.75,8.86,0.00%
APIO-2024,DeepSeek-R1-Distill-Qwen-32B,5,5.95%,0.07,3.97,0.00%
BOI-2023,DeepSeek-R1-Distill-Qwen-32B,0,1.28%,0.01,0.78,0.00%
BOI-2024,DeepSeek-R1-Distill-Qwen-32B,26,16.40%,0.39,1.76,0.00%
BOI-2025,DeepSeek-R1-Distill-Qwen-32B,0,6.69%,0.36,25.28,0.00%
CCO-2023,DeepSeek-R1-Distill-Qwen-32B,2,13.10%,0.12,5.17,0.00%
CCO-2024,DeepSeek-R1-Distill-Qwen-32B,0,0.67%,0.04,5.49,0.00%
CEOI-2023,DeepSeek-R1-Distill-Qwen-32B,0,0.00%,0.00,0.00,0.00%
CEOI-2024,DeepSeek-R1-Distill-Qwen-32B,0,0.00%,0.00,0.00,0.00%
COCI-2023,DeepSeek-R1-Distill-Qwen-32B,0,0.00%,0.00,0.00,0.00%
COCI-2024,DeepSeek-R1-Distill-Qwen-32B,0,0.00%,0.12,2.69,0.00%
COCI-2025,DeepSeek-R1-Distill-Qwen-32B,13,25.00%,0.09,3.88,0.00%
EGOI-2023,DeepSeek-R1-Distill-Qwen-32B,0,0.00%,0.02,0.00,0.00%
EGOI-2024,DeepSeek-R1-Distill-Qwen-32B,10,6.79%,0.03,0.69,0.00%
EJOI-2023,DeepSeek-R1-Distill-Qwen-32B,0,0.00%,0.00,0.00,0.00%
EJOI-2024,DeepSeek-R1-Distill-Qwen-32B,130,28.87%,1.25,25.12,16.67%
IATI-2024,DeepSeek-R1-Distill-Qwen-32B,175,26.99%,0.40,8.75,0.00%
IOI-2023,DeepSeek-R1-Distill-Qwen-32B,5,7.03%,0.10,7.42,0.00%
IOI-2024,DeepSeek-R1-Distill-Qwen-32B,3,9.58%,0.25,4.05,0.00%
JOI-2023,DeepSeek-R1-Distill-Qwen-32B,125,22.26%,0.53,4.16,5.26%
JOI-2024,DeepSeek-R1-Distill-Qwen-32B,162,17.18%,0.63,10.85,5.00%
NOINordic-2023,DeepSeek-R1-Distill-Qwen-32B,143,78.15%,2.75,106.37,0.00%
NOINordic-2024,DeepSeek-R1-Distill-Qwen-32B,4,22.18%,0.20,5.06,0.00%
NOINordic-2025,DeepSeek-R1-Distill-Qwen-32B,67,16.27%,3.78,4.56,0.00%
OOI-2023,DeepSeek-R1-Distill-Qwen-32B,136,77.80%,1.26,1.55,50.00%
OOI-2024,DeepSeek-R1-Distill-Qwen-32B,500,44.39%,1.54,18.19,5.88%
RMI-2023,DeepSeek-R1-Distill-Qwen-32B,37,17.97%,0.57,48.24,0.00%
RMI-2024,DeepSeek-R1-Distill-Qwen-32B,28,10.79%,0.42,58.21,0.00%
USACO-2023,DeepSeek-R1-Distill-Qwen-32B,5419,37.05%,0.93,18.17,22.92%
USACO-2024,DeepSeek-R1-Distill-Qwen-32B,4272,30.00%,0.61,19.80,14.58%
USACO-2025,DeepSeek-R1-Distill-Qwen-32B,2261,21.42%,0.48,15.58,13.89%
