problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0
dirigent,ACCEPTED,70,100.00%,100.00%,0.080,3.6171875,,15,20,35,0
baltazar,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
bomboni,ACCEPTED,110,100.00%,100.00%,0.160,18.82421875,,13,17,33,47
skrivaca,ACCEPTED,110,100.00%,100.00%,0.550,91.64453125,,15,25,30,40
kalendar,ACCEPTED,50,100.00%,100.00%,0.010,0,,7,19,24,0
diskurs,ACCEPTED,70,100.00%,100.00%,0.140,13.35546875,,20,25,25,0
logaritam,ACCEPTED,110,100.00%,100.00%,0.150,0.00390625,,19,26,29,36
slasticarnica,ACCEPTED,110,100.00%,100.00%,0.190,3.41796875,,21,31,58,0
zastave,ACCEPTED,110,100.00%,100.00%,0.070,1.81640625,,41,22,47,0
7krokods,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,26,7,0
zrinka,ACCEPTED,70,100.00%,100.00%,0.160,192.33984375,,15,20,15,20
bojanje,ACCEPTED,110,100.00%,100.00%,0.020,1.6640625,,30,40,40,0
mreza,ACCEPTED,110,100.00%,100.00%,1.590,51.5625,,21,29,60,0
vrsta,ACCEPTED,110,100.00%,100.00%,0.160,15.21875,,19,26,29,36
TOTAL,,1240,,93.33%,,,93.33%,,,,
