competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gemini-2.5-flash,34135,53.26%,1.05,87.35,27.77%
APIO-2023,gemini-2.5-flash,144,67.98%,1.67,123.72,0.00%
APIO-2024,gemini-2.5-flash,0,5.36%,0.42,76.71,0.00%
BOI-2023,gemini-2.5-flash,92,51.12%,1.42,9.96,0.00%
BOI-2024,gemini-2.5-flash,229,59.43%,1.26,65.90,16.67%
BOI-2025,gemini-2.5-flash,87,26.77%,0.53,141.21,0.00%
CCO-2023,gemini-2.5-flash,132,56.20%,0.56,86.72,43.75%
CCO-2024,gemini-2.5-flash,160,60.36%,0.93,92.25,56.25%
CEOI-2023,gemini-2.5-flash,45,23.86%,2.62,55.06,0.00%
CEOI-2024,gemini-2.5-flash,219,67.22%,1.35,320.08,16.67%
COCI-2023,gemini-2.5-flash,1601,80.46%,0.44,41.38,72.00%
COCI-2024,gemini-2.5-flash,1329,68.22%,0.60,51.23,56.00%
COCI-2025,gemini-2.5-flash,1371,71.04%,0.41,37.31,60.00%
EGOI-2023,gemini-2.5-flash,236,30.65%,0.49,16.95,25.00%
EGOI-2024,gemini-2.5-flash,191,38.74%,0.40,174.31,12.50%
EJOI-2023,gemini-2.5-flash,162,30.59%,0.84,87.74,0.00%
EJOI-2024,gemini-2.5-flash,353,65.65%,0.66,38.27,50.00%
IATI-2024,gemini-2.5-flash,378,43.00%,0.46,19.08,18.18%
IOI-2023,gemini-2.5-flash,63,20.68%,1.04,71.14,0.00%
IOI-2024,gemini-2.5-flash,112,39.91%,1.03,413.69,0.00%
JOI-2023,gemini-2.5-flash,448,48.09%,1.45,86.13,15.79%
JOI-2024,gemini-2.5-flash,442,38.71%,1.55,40.17,5.00%
JOI-2025,gemini-2.5-flash,249,78.75%,1.68,52.99,50.00%
NOINordic-2023,gemini-2.5-flash,222,88.58%,1.76,42.66,66.67%
NOINordic-2024,gemini-2.5-flash,137,63.75%,0.35,36.33,33.33%
NOINordic-2025,gemini-2.5-flash,225,87.15%,1.91,20.27,66.67%
OOI-2023,gemini-2.5-flash,874,65.98%,1.51,69.32,29.41%
OOI-2024,gemini-2.5-flash,759,57.77%,1.45,118.05,29.41%
RMI-2023,gemini-2.5-flash,180,50.69%,1.02,102.36,16.67%
RMI-2024,gemini-2.5-flash,189,47.53%,0.70,104.96,16.67%
USACO-2023,gemini-2.5-flash,9008,59.50%,1.18,70.43,47.92%
USACO-2024,gemini-2.5-flash,8374,56.17%,0.99,84.81,39.58%
USACO-2025,gemini-2.5-flash,6124,54.43%,1.02,43.98,44.44%
