problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,100.00%,0.140,4.90625,,15,20,35,0,0
baltazar,RUNTIME_ERROR,0,0.00%,0.00%,0.110,1.578125,,0,0,0,0,0
bomboni,ACCEPTED,110,100.00%,100.00%,0.190,3.35546875,,13,17,33,47,0
skrivaca,ACCEPTED,110,100.00%,100.00%,0.320,53.16796875,,15,25,30,40,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.000,0,,7,19,24,0,0
diskurs,RUNTIME_ERROR,0,0.00%,0.00%,0.050,6.19921875,,0,0,0,0,0
logaritam,ACCEPTED,110,100.00%,100.00%,0.050,0.00390625,,19,26,29,36,0
slasticarnica,ACCEPTED,110,100.00%,100.00%,1.170,193.109375,,21,31,58,0,0
zastave,ACCEPTED,110,100.00%,100.00%,0.100,2.07421875,,41,22,47,0,0
7krokods,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,26,7,0,0
zrinka,ACCEPTED,70,100.00%,100.00%,0.230,96.69140625,,15,20,15,20,0
bojanje,ACCEPTED,110,100.00%,100.00%,0.050,0.00390625,,30,40,40,0,0
mreza,ACCEPTED,110,100.00%,100.00%,0.970,25.51953125,,21,29,60,0,0
vrsta,ACCEPTED,110,100.00%,100.00%,0.140,5.1875,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.000,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,TIME_LIMIT_EXCEEDED,12,10.91%,16.67%,3.610,5.94921875,,0,12,0,0,0
prijateljice,ACCEPTED,110,100.00%,100.00%,0.070,7.484375,,20,30,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,100.00%,0.100,2.84375,,15,20,35,0,0
berilij,RUNTIME_ERROR,0,0.00%,4.55%,0.160,12.39453125,,0,0,0,0,0
iksevi,ACCEPTED,110,100.00%,100.00%,0.410,39.3984375,,15,55,40,0,0
neboderi,ACCEPTED,110,100.00%,100.00%,0.240,12.90234375,,11,22,27,18,32
TOTAL,,1682,,76.85%,,,76.00%,,,,,
