problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.020,0.00390625,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,1.080,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.030,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,11.11%,0.030,0,,0,0,0,0,0,0
zid,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
tornjevi,RUNTIME_ERROR,64,92.59%,0.430,92.8671875,,7,11,17,29,0,0
crtez,TIME_LIMIT_EXCEEDED,20,42.55%,2.430,18.828125,,20,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,0.050,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.060,9.234375,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.080,13.0078125,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.72%,0.030,1.6640625,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,0.030,0,,10,10,30,0,0,0
igre,RUNTIME_ERROR,29,44.90%,0.070,0.00390625,,6,0,23,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,9,20.93%,2.410,6.7421875,,0,0,9,0,0,0
blistavost,RUNTIME_ERROR,55,40.98%,0.030,1.55078125,,0,0,55,0,0,0
trokuti,RUNTIME_ERROR,13,25.00%,0.040,1.8125,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.110,12.8984375,,20,25,25,0,0,0
hijerarhija,TIME_LIMIT_EXCEEDED,22,41.67%,3.610,23.46484375,,7,0,0,15,0,0
uciteljica,RUNTIME_ERROR,0,1.64%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,1.61%,0.030,0.00390625,,0,0,0,0,0,0
TOTAL,,572,37.83%,,,24.00%,,,,,,
