problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,gemini-2.5-flash,ACCEPTED,100,100.00%,100.00%,0.580,112.921875
2023-sp_Festivals_in_JOI_Kingdom_2,gemini-2.5-flash,RUNTIME_ERROR,0,0.00%,40.00%,0.000,0
2023-sp_Passport,gemini-2.5-flash,RUNTIME_ERROR,6,6.00%,47.14%,0.180,25.78515625
2023-sp_Belt_Conveyor,gemini-2.5-flash,RUNTIME_ERROR,1,1.00%,12.90%,0.460,11.59375
2023-sp_Council,gemini-2.5-flash,TIME_LIMIT_EXCEEDED,41,41.00%,90.46%,3.650,4.12890625
2023-sp_Mizuyokan_2,gemini-2.5-flash,TIME_LIMIT_EXCEEDED,6,6.00%,51.72%,3.630,45.37890625
2023-sp_Chorus,gemini-2.5-flash,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Cookies,gemini-2.5-flash,RUNTIME_ERROR,13,13.00%,71.59%,0.320,100.9609375
2023-sp_Tourism,gemini-2.5-flash,TIME_LIMIT_EXCEEDED,35,35.00%,89.09%,4.820,26.4453125
2023-sp_Super_Dango_Maker,gemini-2.5-flash,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,gemini-2.5-flash,RUNTIME_ERROR,0,0.00%,5.95%,0.170,5.9375
