Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,436.00,36.33%,57.53%,25.00%,0.663,79.88,12
gemini-2.5-pro,374.00,31.17%,51.83%,8.33%,1.318,402.15,12
gpt-oss-120b-high,354.00,29.50%,52.04%,16.67%,0.618,266.03,12
gpt-o3-mini-high,323.00,26.92%,43.17%,16.67%,1.325,217.82,12
grok-4-fast-reasoning,320.00,29.09%,53.49%,18.18%,1.688,247.82,11
gemini-2.5-flash,264.00,22.00%,45.54%,8.33%,1.982,187.57,12
gpt-oss-120b_sp1,220.00,18.33%,35.09%,8.33%,0.264,232.92,12
claude-sonnet-4.5,214.00,19.45%,49.91%,0.00%,2.215,141.42,11
gpt-oss-120b-medium,195.00,16.25%,31.84%,8.33%,0.423,44.82,12
gpt-oss-120b_sp2,188.00,15.67%,32.79%,8.33%,1.104,54.28,12
gpt-oss-20b-high,175.00,17.50%,39.83%,10.00%,0.213,42.41,10
gpt-oss-120b_sp4,170.00,14.17%,29.18%,8.33%,0.148,28.40,12
gpt-oss-120b-low,155.00,12.92%,26.98%,8.33%,0.129,213.23,12
Qwen3-32B-Non-Thinking,134.00,11.17%,21.09%,8.33%,1.520,225.16,12
gpt-4.1,119.00,9.92%,29.44%,0.00%,1.582,77.85,12
gpt-oss-120b_sp3,100.00,8.33%,30.62%,0.00%,0.373,47.18,12
seed-oss_16384,74.00,,22.40%,0.00%,0.123,115.06,12
gpt-oss-20b-medium,70.00,5.83%,22.68%,0.00%,0.147,26.00,12
seed-oss_-1,68.00,5.67%,32.22%,0.00%,1.195,470.31,12
seed-oss_2048,59.00,,20.38%,0.00%,0.213,172.93,12
seed-oss_8192,59.00,,20.12%,0.00%,0.953,168.42,12
gpt-oss-20b-low,46.00,3.83%,16.16%,0.00%,0.174,19.22,12
deepseek-chat,43.00,3.58%,22.35%,0.00%,1.777,91.25,12
Qwen3-32B,40.00,,24.09%,0.00%,0.724,8.50,12
deepseek-reasoner,40.00,3.33%,24.02%,0.00%,1.063,37.18,12
Qwen3-14B-Non-Thinking,30.00,2.50%,14.68%,0.00%,0.679,106.68,12
seed-oss_1024,26.00,,14.45%,0.00%,0.212,44.63,12
Qwen3-30B,26.00,,15.83%,0.00%,1.436,103.09,12
Qwen3-30B-Non-Thinking,24.00,2.00%,12.46%,0.00%,1.170,66.04,12
Qwen3-8B,22.00,1.83%,18.91%,0.00%,0.954,38.76,12
Llama-3.3-70B-Instruct,20.00,,7.65%,0.00%,0.653,97.45,12
Qwen3-8B-Non-Thinking,20.00,1.67%,9.19%,0.00%,0.842,116.40,12
OpenCodeReasoning-Nemotron-32B-IOI,19.00,1.58%,16.68%,0.00%,0.118,7.65,12
Qwen3-4B-Non-Thinking,17.00,1.42%,7.59%,0.00%,1.064,46.03,12
OlympicCoder-7B,16.00,1.33%,10.73%,0.00%,0.050,1.85,12
Qwen3-4B,16.00,1.33%,16.73%,0.00%,0.485,208.71,12
Qwen2.5-Coder-14B-Instruct,16.00,1.33%,10.58%,0.00%,0.921,6.12,12
Codestral-22B-v0.1,16.00,1.33%,10.36%,0.00%,1.277,4.00,12
Mistral-Large-Instruct-2411,13.00,1.08%,10.22%,0.00%,0.568,129.81,12
QwQ-32B,10.00,2.50%,2.04%,0.00%,0.018,0.76,4
Qwen2.5-Coder-32B-Instruct,10.00,2.50%,17.04%,0.00%,0.075,1.13,4
seed-oss_512,10.00,,5.98%,0.00%,0.142,145.69,12
Qwen2.5-72B,10.00,,9.58%,0.00%,0.191,97.66,12
Mistral-Small-3.1-24B-2503,10.00,0.83%,8.95%,0.00%,0.775,5.47,12
Qwen3-14B,6.00,,10.86%,0.00%,0.284,20.31,12
seed-oss_4096,6.00,,7.39%,0.00%,0.418,46.22,12
DeepSeek-R1-Distill-Llama-70B,6.00,0.50%,12.07%,0.00%,0.733,64.44,12
DeepSeek-R1-Distill-Qwen-32B,0.00,0.00%,0.00%,0.00%,0.000,0.00,4
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,12
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,0.00%,0.00%,0.000,0.00,4
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,1.00%,0.00%,0.031,0.24,11
Llama-4-Scout,0.00,0.00%,2.86%,0.00%,0.033,2.50,12
Llama-3.1-8B-Instruct,0.00,0.00%,3.43%,0.00%,0.038,2.30,12
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,1.58%,0.00%,0.050,1.67,12
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,4.04%,0.00%,0.302,4.79,12
seed-oss_0,0.00,,8.21%,0.00%,0.320,102.07,12
