solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4
2024-sp_Tower_Qwen3-8B-Non-Thinking_0.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,0.170,3.29296875,0,0,0,0
2024-sp_Tower_Qwen3-8B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-sp_Tower_Qwen3-8B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-sp_Tower_Qwen3-8B-Non-Thinking_4.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,2.420,58.23828125,0,0,0,0
2024-sp_Tower_Qwen3-8B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-sp_Tower_Qwen3-8B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-sp_Tower_Qwen3-8B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-sp_Tower_Qwen3-8B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-sp_Tower_Qwen3-8B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-sp_Tower_Qwen3-8B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
2024-sp_Tower_Qwen3-8B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
