problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,TIME_LIMIT_EXCEEDED,19,19.00%,28.12%,0.850,2.0703125,,0,19,0,0,0,0,0,0,0,0
game,TIME_LIMIT_EXCEEDED,8,8.00%,13.51%,1.800,25.0625,,8,0,0,0,0,0,0,0,0,0
lexgcd,TIME_LIMIT_EXCEEDED,6,6.00%,9.02%,1.810,5.1796875,,6,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,57,57.00%,0.00%,0.110,1.953125,,5.559060000000001,5.69126,6.0324599999999995,6.0567899999999995,6.014659999999999,5.76809,5.648840000000001,5.505139999999999,5.23963,4.98747
travel,TIME_LIMIT_EXCEEDED,20,20.00%,29.41%,1.210,33.7578125,,10,10,0,0,0,0,0,0,0,0
aquarelle,TIME_LIMIT_EXCEEDED,29,29.00%,76.56%,0.420,26.30078125,,0,11,18,0,0,0,0,0,0,0
parentheses,TIME_LIMIT_EXCEEDED,40,40.00%,91.83%,0.360,2.33984375,,0,5,10,10,15,0,0,0,0,0
tolls,ACCEPTED,100,100.00%,100.00%,0.090,12.37890625,,0,5,5,10,20,10,20,30,0,0
twins,ACCEPTED,100,100.00%,100.00%,0.050,3.5859375,,40,10,50,0,0,0,0,0,0,0
walk,ACCEPTED,100,100.00%,100.00%,0.390,26.23828125,,0,10,7,29,27,7,14,6,0,0
xy,TIME_LIMIT_EXCEEDED,0,0.00%,2.86%,0.260,16.796875,,0,0,0,0,0,0,0,0,0,0
TOTAL,,479,,50.12%,,,27.27%,,,,,,,,,,
