Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,astronomer,astronomer_rel,minequake,minequake_rel,mineraldeposits,mineraldeposits_rel,sequence,sequence_rel,staringcontest,staringcontest_rel,tycho,tycho_rel
seed-oss_-1,193.00,,71.87%,16.67%,0.415,8.99,6,32.00,,100.00,,9.00,,11.00,,9.00,,32.00,
gpt-5,187.00,,63.83%,16.67%,0.618,10.95,6,35.00,,100.00,,9.00,,11.00,,0.00,,32.00,
gemini-2.5-pro,181.00,,74.46%,16.67%,1.308,192.66,6,9.00,,100.00,,9.00,,11.00,,20.00,,32.00,
seed-oss_16384,169.00,,61.85%,16.67%,0.408,9.16,6,8.00,,100.00,,9.00,,11.00,,9.00,,32.00,
gpt-oss-120b-high,136.00,,56.50%,16.67%,0.875,3.85,6,8.00,,100.00,,9.00,,11.00,,0.00,,8.00,
seed-oss_8192,132.00,,38.14%,16.67%,0.463,13.10,6,0.00,,100.00,,0.00,,0.00,,0.00,,32.00,
gpt-oss-120b-medium,128.00,21.33%,52.26%,16.67%,0.708,13.05,6,8.00,8.00%,100.00,100.00%,9.00,9.00%,11.00,11.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-medium,119.00,,45.50%,16.67%,0.390,2.45,6,8.00,,100.00,,0.00,,11.00,,0.00,,0.00,
gpt-o3-mini-high,92.00,,37.45%,0.00%,0.910,6.80,6,8.00,,37.00,,0.00,,0.00,,0.00,,47.00,
gemini-2.5-flash,92.00,,51.12%,0.00%,1.298,11.38,6,22.00,,18.00,,9.00,,11.00,,0.00,,32.00,
deepseek-reasoner,60.00,,49.95%,0.00%,0.397,1.02,6,8.00,,41.00,,0.00,,11.00,,0.00,,0.00,
gpt-oss-120b-low,47.00,,36.59%,0.00%,1.008,3.20,6,36.00,,0.00,,0.00,,11.00,,0.00,,0.00,
gpt-4.1,47.00,,28.65%,0.00%,1.797,227.76,6,0.00,,0.00,,0.00,,0.00,,0.00,,47.00,
Qwen3-32B,40.00,,42.77%,0.00%,0.907,2.41,6,8.00,,0.00,,0.00,,11.00,,9.00,,12.00,
Qwen3-30B,37.00,,43.00%,0.00%,0.038,0.50,6,8.00,,0.00,,9.00,,11.00,,9.00,,0.00,
QwQ-32B,37.00,,36.54%,0.00%,0.132,2.17,6,8.00,,18.00,,0.00,,11.00,,0.00,,0.00,
gpt-oss-20b-low,28.00,,25.12%,0.00%,0.232,0.93,6,8.00,,0.00,,0.00,,11.00,,9.00,,0.00,
Qwen3-14B,24.00,,47.70%,0.00%,0.052,5.36,6,8.00,,0.00,,0.00,,11.00,,0.00,,5.00,
Llama-4-Scout,20.00,,18.33%,0.00%,0.002,0.65,6,0.00,,0.00,,0.00,,11.00,,9.00,,0.00,
Qwen2.5-72B,20.00,,22.81%,0.00%,0.017,1.95,6,0.00,,0.00,,0.00,,11.00,,9.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,19.00,,22.97%,0.00%,0.040,0.50,6,8.00,,0.00,,0.00,,11.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,17.00,,13.78%,0.00%,0.012,1.96,6,8.00,,0.00,,0.00,,0.00,,9.00,,0.00,
deepseek-chat,13.00,,21.34%,0.00%,0.008,0.75,6,8.00,,0.00,,0.00,,0.00,,0.00,,5.00,
DeepSeek-R1-Distill-Qwen-32B,11.00,,11.59%,0.00%,0.010,0.26,6,0.00,,0.00,,0.00,,11.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,11.00,,11.80%,0.00%,0.012,0.25,6,0.00,,0.00,,0.00,,11.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,11.00,,15.46%,0.00%,0.930,2.01,6,0.00,,0.00,,0.00,,11.00,,0.00,,0.00,
seed-oss_4096,11.00,,17.47%,0.00%,1.007,1.44,6,0.00,,0.00,,0.00,,11.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,9.00,,10.97%,0.00%,0.003,1.95,6,0.00,,0.00,,0.00,,0.00,,9.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,9.00,,12.86%,0.00%,0.018,1.63,6,0.00,,0.00,,0.00,,0.00,,9.00,,0.00,
Qwen3-8B,9.00,,27.01%,0.00%,0.997,0.52,6,0.00,,0.00,,9.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,8.00,,7.75%,0.00%,0.012,0.86,6,8.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,8.00,,9.70%,0.00%,0.028,0.41,6,8.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B,8.00,,9.28%,0.00%,0.305,1.10,6,8.00,,0.00,,0.00,,0.00,,0.00,,0.00,
gpt-oss-20b-high,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,
Qwen2.5-Coder-7B-Instruct,0.00,,2.45%,0.00%,0.007,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,2.76%,0.00%,0.007,0.84,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_1024,0.00,,3.87%,0.00%,0.008,0.76,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,,4.32%,0.00%,0.010,0.72,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,0.00,,5.61%,0.00%,0.010,0.26,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,0.00,,3.55%,0.00%,0.010,0.26,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,0.00,,8.74%,0.00%,0.010,1.07,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,0.00,,4.27%,0.00%,0.018,2.74,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,0.00,,7.96%,0.00%,0.020,3.11,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,0.00,,10.24%,0.00%,0.133,86.72,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,0.00,,6.20%,0.00%,0.407,1.16,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
