Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,d1p1,d1p1_rel,d1p2,d1p2_rel,d1p3,d1p3_rel,d2p1,d2p1_rel,d2p2,d2p2_rel,d2p3,d2p3_rel
gpt-5,87.00,58.00%,57.50%,50.00%,0.340,50.48,6,25.00,100.00%,25.00,100.00%,5.00,20.00%,0.00,0.00%,25.00,100.00%,7.00,28.00%
gpt-oss-120b-high,75.00,50.00%,50.38%,50.00%,0.330,49.85,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,25.00,100.00%,0.00,0.00%
gemini-2.5-pro,62.00,41.33%,46.57%,33.33%,3.098,244.66,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,7.00,28.00%,5.00,20.00%
grok-4-fast-reasoning,61.00,40.67%,43.38%,33.33%,1.913,53.25,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,11.00,44.00%
gpt-oss-20b-high,55.00,36.67%,36.14%,33.33%,0.265,45.18,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,5.00,20.00%,0.00,0.00%
gpt-oss-120b-medium,55.00,36.67%,39.36%,33.33%,0.343,230.11,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,20.00%
gemini-2.5-flash,53.00,35.33%,38.26%,33.33%,2.188,240.99,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,3.00,12.00%
gpt-oss-120b-low,51.00,34.00%,34.57%,33.33%,1.088,41.13,6,25.00,100.00%,25.00,100.00%,1.00,4.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-low,50.00,33.33%,33.52%,33.33%,0.217,16.06,6,25.00,100.00%,0.00,0.00%,0.00,0.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-medium,50.00,33.33%,33.81%,33.33%,0.297,51.80,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp2,50.00,33.33%,33.95%,33.33%,0.298,45.94,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp4,50.00,33.33%,35.13%,33.33%,0.310,38.64,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp1,50.00,33.33%,34.10%,33.33%,0.313,39.95,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp3,50.00,33.33%,34.38%,33.33%,0.358,59.42,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
deepseek-reasoner,50.00,33.33%,34.58%,33.33%,1.080,31.79,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_16384,50.00,,36.93%,33.33%,1.140,53.77,6,25.00,,25.00,,0.00,,0.00,,0.00,,0.00,
gpt-o3-mini-high,50.00,33.33%,36.07%,33.33%,1.893,46.38,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_-1,50.00,33.33%,35.44%,33.33%,1.920,52.15,6,25.00,100.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_8192,42.00,,26.06%,16.67%,1.482,63.25,6,25.00,,17.00,,0.00,,0.00,,0.00,,0.00,
claude-sonnet-4.5,39.00,26.00%,30.28%,16.67%,3.150,239.59,6,5.00,20.00%,25.00,100.00%,0.00,0.00%,0.00,0.00%,4.00,16.00%,5.00,20.00%
seed-oss_4096,34.00,,23.41%,16.67%,0.790,261.11,6,25.00,,9.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-32B,34.00,22.67%,25.48%,16.67%,2.370,89.96,6,25.00,100.00%,9.00,36.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-4.1,33.00,22.00%,25.44%,16.67%,1.118,59.23,6,25.00,100.00%,4.00,16.00%,1.00,4.00%,0.00,0.00%,0.00,0.00%,3.00,12.00%
seed-oss_512,33.00,,21.62%,16.67%,1.605,35.17,6,8.00,,0.00,,0.00,,25.00,,0.00,,0.00,
deepseek-chat,26.00,17.33%,18.95%,16.67%,1.808,32.71,6,25.00,100.00%,0.00,0.00%,1.00,4.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B,26.00,17.33%,20.16%,16.67%,2.208,66.23,6,25.00,100.00%,0.00,0.00%,1.00,4.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B,25.00,16.67%,16.67%,16.67%,0.195,18.16,6,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,25.00,,16.86%,16.67%,0.205,27.65,6,25.00,,0.00,,0.00,,0.00,,0.00,,0.00,
OlympicCoder-7B,25.00,16.67%,16.86%,16.67%,0.217,24.89,6,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,25.00,16.67%,17.43%,16.67%,1.003,29.07,6,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,25.00,16.67%,17.53%,16.67%,1.040,43.46,6,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B,25.00,16.67%,18.10%,16.67%,1.832,24.74,6,25.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_1024,10.00,,11.59%,0.00%,0.268,219.52,6,10.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,6.00,4.00%,4.92%,0.00%,1.697,35.32,6,5.00,20.00%,0.00,0.00%,1.00,4.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,5.00,3.33%,4.06%,0.00%,0.857,29.11,6,5.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,5.00,3.33%,4.15%,0.00%,0.870,27.91,6,5.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,5.00,3.33%,4.30%,0.00%,0.885,64.31,6,5.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-72B,5.00,3.33%,4.44%,0.00%,1.007,210.20,6,5.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,5.00,3.33%,4.54%,0.00%,1.622,221.51,6,5.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,5.00,3.33%,4.25%,0.00%,1.758,34.38,6,5.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,5.00,3.33%,4.06%,0.00%,1.772,41.50,6,5.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,5.00,3.33%,4.44%,0.00%,1.817,262.47,6,5.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,1.00,0.67%,0.95%,0.00%,0.062,8.89,6,0.00,0.00%,0.00,0.00%,1.00,4.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B,1.00,0.67%,9.54%,0.00%,2.430,221.50,6,0.00,0.00%,0.00,0.00%,1.00,4.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
QwQ-32B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Qwen-32B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,2,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A
Qwen3-14B-Non-Thinking,0.00,0.00%,0.38%,0.00%,0.105,204.63,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-4-Scout,0.00,0.00%,0.48%,0.00%,0.672,5.47,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,0.33%,0.00%,0.878,25.17,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_0,0.00,,0.62%,0.00%,0.937,33.27,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,0.00%,0.28%,0.00%,1.157,26.39,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,0.00,0.00%,2.47%,0.00%,1.608,19.28,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
