Model,Total Score,Global Relative Score (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Count,Contest Count,Total Tasks,Global Rank
gemini-2.5-pro,37470.0,51.13,44.11,18,12,18,48,68.65,13,68,356,1
gpt-o3-mini-high,36542.0,46.95,42.92,15,14,15,44,61.17,13,68,356,2
gemini-2.5-flash,31566.0,40.84,35.82,10,11,17,38,54.95,13,68,356,3
Qwen3-32B,24590.0,32.32,26.69,7,7,17,31,41.15,13,67,351,4
deepseek-reasoner,25657.0,32.49,27.86,5,9,16,30,40.12,13,68,356,5
Qwen3-14B,19800.0,26.69,21.34,4,8,14,26,34.7,13,67,351,6
QwQ-32B,19988.0,25.56,22.45,4,6,15,25,31.78,13,67,351,7
Qwen3-30B,19351.0,26.5,21.31,4,10,10,24,34.57,13,67,351,8
Qwen3-8B,17088.0,23.67,17.7,1,7,14,22,32.63,13,67,351,9
gpt-4.1,16783.0,24.14,17.22,3,8,10,21,34.99,13,68,356,10
deepseek-chat,15159.0,21.02,16.66,3,4,12,19,29.77,13,67,351,11
DeepSeek-R1-Distill-Qwen-32B,14816.0,18.46,13.57,1,5,11,17,26.58,13,66,350,12
DeepSeek-R1-Distill-Llama-70B,14301.0,19.73,15.87,1,5,11,17,34.16,13,68,356,13
Qwen3-4B,11568.0,15.28,11.82,1,4,8,13,23.39,13,67,351,14
Qwen3-32B-Non-Thinking,7827.0,12.32,8.54,1,2,5,8,25.53,13,68,356,15
DeepSeek-R1-Distill-Qwen-14B,9131.0,12.59,10.03,1,2,4,7,22.76,13,67,351,16
Qwen2.5-Coder-32B-Instruct,6446.0,10.67,5.84,1,2,4,7,21.1,13,67,351,17
Mistral-Small-3.1-24B-2503,3160.0,7.22,4.81,1,0,6,7,22.18,13,67,351,18
Llama-3.3-70B-Instruct,5962.0,9.61,5.55,0,1,6,7,23.23,13,67,351,19
Qwen2.5-Coder-14B-Instruct,4978.0,9.21,5.41,1,2,3,6,21.93,13,67,351,20
Qwen2.5-72B,4910.0,9.4,6.01,1,2,3,6,19.8,13,67,351,21
Mistral-Large-Instruct-2411,5325.0,9.16,5.56,1,1,3,5,21.25,13,68,356,22
Qwen3-30B-Non-Thinking,7605.0,10.14,7.08,1,0,4,5,18.35,13,68,356,23
Qwen3-4B-Non-Thinking,3550.0,6.57,4.49,0,1,4,5,16.5,13,68,356,24
Codestral-22B-v0.1,2556.0,6.62,4.39,0,1,2,3,17.39,13,67,351,25
Qwen3-8B-Non-Thinking,4562.0,6.81,3.73,0,1,1,2,19.21,13,68,356,26
Llama-3.1-8B-Instruct,1145.0,3.92,2.29,0,1,1,2,15.59,13,66,350,27
Qwen3-14B-Non-Thinking,5466.0,6.52,3.4,0,0,2,2,19.39,13,67,351,28
DeepSeek-R1-Distill-Llama-8B,1134.0,2.99,2.29,0,0,2,2,12.91,13,66,350,29
Qwen2.5-Coder-7B-Instruct,2429.0,4.75,2.83,0,1,0,1,12.59,12,65,347,30
DeepSeek-Coder-V2-Lite-Instruct,2433.0,5.38,2.25,0,0,1,1,15.46,13,67,351,31
DeepSeek-R1-Distill-Qwen-7B,48.0,0.86,2.12,0,0,0,0,14.68,13,44,236,32
