Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,343.00,,43.22%,16.67%,0.411,160.86,12
gpt-oss-120b-high,295.00,,40.76%,16.67%,0.556,228.24,12
gemini-2.5-pro,294.00,,46.29%,0.00%,1.767,381.43,12
seed-oss_-1,247.00,,38.34%,0.00%,1.003,218.47,12
seed-oss_16384,222.00,,35.97%,0.00%,1.067,232.31,12
seed-oss_8192,214.00,,29.49%,0.00%,0.636,16.53,12
Qwen3-32B,192.00,,30.51%,0.00%,0.910,314.93,12
gpt-o3-mini-high,179.00,,24.31%,0.00%,0.751,26.28,12
gemini-2.5-flash,175.00,,30.29%,0.00%,1.047,222.58,12
gpt-oss-120b-medium,151.00,12.58%,28.11%,0.00%,0.623,213.40,12
Qwen3-30B,137.00,,23.17%,0.00%,0.693,196.07,12
deepseek-reasoner,133.00,,27.22%,0.00%,1.065,13.10,12
gpt-oss-20b-low,129.00,,21.05%,0.00%,0.588,9.42,12
gpt-oss-20b-medium,129.00,,23.45%,0.00%,0.838,9.21,11
gpt-oss-20b-high,128.00,,24.37%,0.00%,0.609,186.74,10
Qwen3-14B,125.00,,22.57%,0.00%,0.554,195.52,12
gpt-oss-120b-low,122.00,,21.48%,0.00%,0.697,8.68,12
Qwen3-30B-Non-Thinking,111.00,,18.74%,0.00%,0.823,306.23,12
Qwen3-8B,105.00,,17.99%,0.00%,0.553,414.53,12
deepseek-chat,99.00,,19.33%,0.00%,0.938,12.15,12
QwQ-32B,92.00,,14.73%,0.00%,0.493,5.40,12
Qwen2.5-Coder-32B-Instruct,76.00,,18.03%,0.00%,1.042,376.48,12
DeepSeek-R1-Distill-Llama-70B,75.00,,20.97%,0.00%,0.920,194.49,12
gpt-4.1,74.00,,15.66%,0.00%,0.433,39.20,12
Mistral-Large-Instruct-2411,66.00,,14.28%,0.00%,0.807,191.71,12
Qwen3-14B-Non-Thinking,61.00,,12.49%,0.00%,0.738,376.16,12
Qwen3-4B,50.00,,12.48%,0.00%,0.743,431.45,12
Qwen2.5-72B,47.00,,9.78%,0.00%,0.281,188.57,12
Qwen3-32B-Non-Thinking,44.00,,10.98%,0.00%,0.405,190.51,12
Llama-3.3-70B-Instruct,44.00,,10.63%,0.00%,0.853,377.59,12
Qwen3-8B-Non-Thinking,42.00,,8.24%,0.00%,0.427,196.15,12
DeepSeek-R1-Distill-Qwen-32B,40.00,,9.82%,0.00%,0.500,8.69,12
Llama-4-Scout,34.00,,10.32%,0.00%,0.562,411.66,12
seed-oss_4096,32.00,,11.44%,0.00%,0.403,207.49,12
seed-oss_2048,26.00,,8.43%,0.00%,0.107,206.67,12
seed-oss_1024,25.00,,11.79%,0.00%,0.297,7.68,12
DeepSeek-R1-Distill-Qwen-14B,25.00,,6.99%,0.00%,0.359,9.20,12
Qwen2.5-Coder-14B-Instruct,25.00,,10.13%,0.00%,0.810,379.57,12
seed-oss_512,22.00,,4.94%,0.00%,0.034,8.80,12
Qwen3-4B-Non-Thinking,22.00,,6.25%,0.00%,0.310,447.28,12
DeepSeek-Coder-V2-Lite-Instruct,22.00,,7.60%,0.00%,0.323,378.75,12
Mistral-Small-3.1-24B-2503,22.00,,6.89%,0.00%,0.438,191.69,12
Qwen2.5-Coder-7B-Instruct,12.00,,5.56%,0.00%,0.188,187.45,12
Llama-3.1-8B-Instruct,12.00,,5.69%,0.00%,0.205,190.67,12
seed-oss_0,11.00,,3.74%,0.00%,0.144,5.95,12
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,12
Codestral-22B-v0.1,0.00,,1.67%,0.00%,0.258,374.59,12
DeepSeek-R1-Distill-Llama-8B,0.00,,1.76%,0.00%,0.334,2.26,12
