solution,status,score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4
2024-sp_Card_Collection_Qwen3-32B-Non-Thinking_1.cpp,RUNTIME_ERROR,0,3.10%,0.010,0,0,0,0,0
2024-sp_Card_Collection_Qwen3-32B-Non-Thinking_2.cpp,RUNTIME_ERROR,0,3.10%,0.010,0,0,0,0,0
2024-sp_Card_Collection_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0
2024-sp_Card_Collection_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0
2024-sp_Card_Collection_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0
2024-sp_Card_Collection_Qwen3-32B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0
2024-sp_Card_Collection_Qwen3-32B-Non-Thinking_4.cpp,RUNTIME_ERROR,0,3.10%,0.010,0,0,0,0,0
2024-sp_Card_Collection_Qwen3-32B-Non-Thinking_5.cpp,RUNTIME_ERROR,0,0.00%,0.010,4.26953125,0,0,0,0
2024-sp_Card_Collection_Qwen3-32B-Non-Thinking_6.cpp,RUNTIME_ERROR,0,6.06%,0.010,3.7578125,0,0,0,0
2024-sp_Card_Collection_Qwen3-32B-Non-Thinking_7.cpp,RUNTIME_ERROR,0,3.10%,0.010,0,0,0,0,0
