competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gpt-oss-120b-high,35165,59.59%,0.38,59.00,44.28%
APIO-2023,gpt-oss-120b-high,31,22.42%,0.25,25.06,0.00%
APIO-2024,gpt-oss-120b-high,105,39.29%,0.13,13.50,33.33%
BOI-2023,gpt-oss-120b-high,136,56.50%,0.87,3.85,16.67%
BOI-2024,gpt-oss-120b-high,375,73.06%,0.21,30.10,50.00%
BOI-2025,gpt-oss-120b-high,100,19.61%,0.26,37.59,16.67%
CCO-2023,gpt-oss-120b-high,206,75.21%,0.10,15.47,62.50%
CCO-2024,gpt-oss-120b-high,15,100.00%,0.02,0.00,100.00%
CEOI-2023,gpt-oss-120b-high,130,37.42%,0.72,429.54,0.00%
CEOI-2024,gpt-oss-120b-high,224,66.65%,0.50,104.79,33.33%
COCI-2023,gpt-oss-120b-high,1690,77.39%,0.10,10.89,76.00%
COCI-2024,gpt-oss-120b-high,0,0.00%,0.03,0.00,0.00%
COCI-2025,gpt-oss-120b-high,1713,81.48%,0.16,27.54,76.00%
EGOI-2023,gpt-oss-120b-high,300,37.50%,0.04,6.44,37.50%
EGOI-2024,gpt-oss-120b-high,436,59.69%,0.06,9.16,50.00%
EJOI-2023,gpt-oss-120b-high,400,67.49%,0.22,44.92,66.67%
EJOI-2024,gpt-oss-120b-high,419,75.64%,0.33,43.28,66.67%
IATI-2024,gpt-oss-120b-high,424,42.38%,0.27,54.57,18.18%
IOI-2023,gpt-oss-120b-high,128,31.98%,0.57,35.97,16.67%
IOI-2024,gpt-oss-120b-high,167,49.53%,0.55,420.51,16.67%
JOI-2023,gpt-oss-120b-high,681,49.71%,0.38,27.94,30.00%
JOI-2024,gpt-oss-120b-high,670,49.73%,0.71,69.53,25.00%
JOI-2025,gpt-oss-120b-high,279,67.66%,0.93,51.50,40.00%
NOINordic-2023,gpt-oss-120b-high,246,90.14%,0.25,97.48,66.67%
NOINordic-2024,gpt-oss-120b-high,149,68.81%,0.46,6.07,33.33%
NOINordic-2025,gpt-oss-120b-high,300,100.00%,0.59,40.80,100.00%
OOI-2023,gpt-oss-120b-high,1228,79.74%,0.55,76.50,58.82%
OOI-2024,gpt-oss-120b-high,1336,83.94%,0.86,58.62,70.59%
RMI-2023,gpt-oss-120b-high,459,86.13%,0.36,34.05,66.67%
RMI-2024,gpt-oss-120b-high,230,47.96%,0.87,52.30,33.33%
USACO-2023,gpt-oss-120b-high,0,4.76%,0.06,0.00,0.00%
USACO-2024,gpt-oss-120b-high,12777,81.50%,0.38,39.88,75.00%
USACO-2025,gpt-oss-120b-high,9811,83.64%,0.27,20.09,80.56%
