Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Balancing_Bacteria,bronze_Balancing_Bacteria_rel,bronze_Cannonball,bronze_Cannonball_rel,bronze_Majority_Opinion,bronze_Majority_Opinion_rel,gold_Cowmpetency,gold_Cowmpetency_rel,gold_Nap_Sort,gold_Nap_Sort_rel,gold_Walking_in_Manhattan,gold_Walking_in_Manhattan_rel,platinum_Island_Vacation,platinum_Island_Vacation_rel,platinum_Merging_Cells,platinum_Merging_Cells_rel,platinum_Mooball_Teams_III,platinum_Mooball_Teams_III_rel,silver_Cowlendar,silver_Cowlendar_rel,silver_Cowmpetency,silver_Cowmpetency_rel,silver_Potion_Farming,silver_Potion_Farming_rel
gpt-oss-120b-high,3696.00,95.08%,93.12%,91.67%,0.432,41.38,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,333.00,102.78%,333.00,100.91%,333.00,103.10%,33.00,10.31%,333.00,104.06%,333.00,104.06%,333.00,102.78%,333.00,100.91%,333.00,103.42%
gpt-5,3431.00,88.31%,87.70%,75.00%,0.437,39.38,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,333.00,102.78%,333.00,100.91%,333.00,103.10%,67.00,20.94%,200.00,62.50%,333.00,104.06%,333.00,102.78%,167.00,50.61%,333.00,103.42%
grok-4-fast-reasoning,3372.00,86.79%,84.58%,66.67%,0.434,32.94,12,308.00,94.77%,333.00,102.78%,333.00,103.42%,333.00,102.78%,333.00,100.91%,333.00,103.10%,33.00,10.31%,200.00,62.50%,333.00,104.06%,333.00,102.78%,167.00,50.61%,333.00,103.42%
gpt-oss-20b-high,2864.00,88.57%,87.57%,80.00%,0.486,19.94,10,333.00,102.46%,333.00,102.78%,333.00,103.42%,333.00,102.78%,N/A,N/A,333.00,103.10%,33.00,10.31%,N/A,N/A,333.00,104.06%,333.00,102.78%,167.00,50.61%,333.00,103.42%
gpt-oss-120b_sp4,2664.00,68.47%,67.77%,66.67%,0.178,10.57,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,333.00,102.78%,0.00,0.00%,333.00,103.10%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,102.78%,333.00,100.91%,333.00,103.42%
gemini-2.5-pro,2655.00,68.39%,69.83%,50.00%,0.737,144.59,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,333.00,102.78%,200.00,60.61%,140.00,43.34%,67.00,20.94%,100.00,31.25%,150.00,46.88%,333.00,102.78%,0.00,0.00%,333.00,103.42%
gpt-oss-120b_sp1,2405.00,61.88%,61.59%,50.00%,0.624,80.08,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,333.00,102.78%,200.00,60.61%,140.00,43.34%,17.00,5.31%,50.00,15.62%,0.00,0.00%,333.00,102.78%,0.00,0.00%,333.00,103.42%
gpt-oss-20b-medium,2304.00,64.69%,63.61%,54.55%,0.386,27.94,11,333.00,102.46%,333.00,102.78%,333.00,103.42%,333.00,102.78%,0.00,0.00%,140.00,43.34%,33.00,10.31%,0.00,0.00%,N/A,N/A,333.00,102.78%,133.00,40.30%,333.00,103.42%
seed-oss_-1,2292.00,59.19%,60.62%,50.00%,0.582,77.24,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,37.00,11.42%,0.00,0.00%,140.00,43.34%,17.00,5.31%,100.00,31.25%,333.00,104.06%,333.00,102.78%,0.00,0.00%,333.00,103.42%
gpt-oss-120b_sp2,2263.00,58.27%,57.84%,50.00%,0.306,28.15,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,148.00,45.68%,100.00,30.30%,333.00,103.10%,17.00,5.31%,0.00,0.00%,0.00,0.00%,333.00,102.78%,0.00,0.00%,333.00,103.42%
gpt-o3-mini-high,2253.00,58.00%,60.71%,41.67%,0.732,75.94,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,148.00,45.68%,0.00,0.00%,140.00,43.34%,33.00,10.31%,100.00,31.25%,0.00,0.00%,333.00,102.78%,167.00,50.61%,333.00,103.42%
gpt-oss-120b_sp3,2190.00,56.27%,56.72%,41.67%,0.445,24.74,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,19.00,5.86%,333.00,100.91%,140.00,43.34%,33.00,10.31%,0.00,0.00%,0.00,0.00%,333.00,102.78%,0.00,0.00%,333.00,103.42%
gpt-oss-120b-medium,2157.00,55.52%,56.33%,41.67%,1.116,42.05,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,19.00,5.86%,33.00,10.00%,140.00,43.34%,33.00,10.31%,100.00,31.25%,0.00,0.00%,333.00,102.78%,167.00,50.61%,333.00,103.42%
gemini-2.5-flash,2122.00,54.61%,54.40%,41.67%,0.736,108.01,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,0.00,0.00%,200.00,60.61%,140.00,43.34%,17.00,5.31%,100.00,31.25%,0.00,0.00%,333.00,102.78%,0.00,0.00%,333.00,103.42%
claude-sonnet-4.5,2085.00,53.62%,57.19%,25.00%,1.470,134.65,12,333.00,102.46%,333.00,102.78%,71.00,22.05%,148.00,45.68%,200.00,60.61%,140.00,43.34%,67.00,20.94%,100.00,31.25%,150.00,46.88%,333.00,102.78%,67.00,20.30%,143.00,44.41%
deepseek-reasoner,1827.00,47.12%,48.18%,33.33%,0.552,54.29,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,0.00,0.00%,0.00,0.00%,140.00,43.34%,33.00,10.31%,100.00,31.25%,0.00,0.00%,222.00,68.52%,0.00,0.00%,333.00,103.42%
Qwen3-30B,1766.00,,47.69%,33.33%,0.609,51.98,12,333.00,,333.00,,333.00,,0.00,,0.00,,140.00,,0.00,,100.00,,0.00,,194.00,,0.00,,333.00,
seed-oss_8192,1700.00,,45.37%,33.33%,0.465,75.34,12,333.00,,333.00,,333.00,,0.00,,0.00,,140.00,,33.00,,100.00,,0.00,,333.00,,0.00,,95.00,
OpenCodeReasoning-Nemotron-32B-IOI,1666.00,42.94%,43.55%,33.33%,0.410,5.71,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,0.00,0.00%,0.00,0.00%,140.00,43.34%,0.00,0.00%,0.00,0.00%,0.00,0.00%,194.00,59.88%,0.00,0.00%,333.00,103.42%
Qwen3-14B,1659.00,,45.13%,25.00%,0.683,53.07,12,333.00,,333.00,,333.00,,19.00,,0.00,,140.00,,17.00,,100.00,,0.00,,194.00,,0.00,,190.00,
