Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,september,september_rel,show,show_rel,train,train_rel
gpt-5,140.00,46.67%,49.40%,33.33%,0.160,7.92,3,100.00,100.00%,0.00,0.00%,40.00,40.00%
grok-4-fast-reasoning,110.00,55.00%,66.07%,50.00%,0.685,31.44,2,100.00,100.00%,N/A,N/A,10.00,10.00%
gpt-oss-120b_sp3,105.00,35.00%,39.29%,33.33%,0.110,10.56,3,100.00,100.00%,0.00,0.00%,5.00,5.00%
gpt-oss-120b-medium,105.00,35.00%,39.29%,33.33%,0.160,8.01,3,100.00,100.00%,0.00,0.00%,5.00,5.00%
gpt-oss-20b-medium,105.00,35.00%,39.29%,33.33%,0.173,10.57,3,100.00,100.00%,0.00,0.00%,5.00,5.00%
gpt-oss-120b_sp1,105.00,35.00%,39.29%,33.33%,0.197,9.85,3,100.00,100.00%,0.00,0.00%,5.00,5.00%
seed-oss_16384,105.00,,39.29%,33.33%,0.200,17.50,3,100.00,,0.00,,5.00,
gpt-oss-120b-high,105.00,35.00%,39.29%,33.33%,0.203,12.71,3,100.00,100.00%,0.00,0.00%,5.00,5.00%
gpt-oss-120b-low,105.00,35.00%,39.29%,33.33%,0.220,11.40,3,100.00,100.00%,0.00,0.00%,5.00,5.00%
gpt-o3-mini-high,105.00,35.00%,41.07%,33.33%,0.403,418.94,3,100.00,100.00%,0.00,0.00%,5.00,5.00%
gemini-2.5-pro,105.00,35.00%,42.86%,33.33%,0.497,9.94,3,100.00,100.00%,0.00,0.00%,5.00,5.00%
gpt-oss-120b_sp4,105.00,35.00%,39.29%,33.33%,0.543,15.92,3,100.00,100.00%,0.00,0.00%,5.00,5.00%
gpt-oss-20b-high,100.00,33.33%,33.33%,33.33%,0.140,3.38,3,100.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp2,100.00,33.33%,33.93%,33.33%,0.167,34.79,3,100.00,100.00%,0.00,0.00%,0.00,0.00%
claude-sonnet-4.5,65.00,32.50%,47.32%,0.00%,0.655,15.32,2,55.00,55.00%,N/A,N/A,10.00,10.00%
DeepSeek-R1-Distill-Llama-70B,50.00,16.67%,22.62%,0.00%,0.307,7.84,3,45.00,45.00%,0.00,0.00%,5.00,5.00%
claude-haiku-4.5,35.00,17.50%,28.57%,0.00%,1.240,115.94,2,25.00,25.00%,N/A,N/A,10.00,10.00%
Qwen3-32B,33.00,11.00%,14.81%,0.00%,0.413,315.96,3,28.00,28.00%,0.00,0.00%,5.00,5.00%
gpt-4.1,19.00,6.33%,10.12%,0.00%,0.160,8.61,3,14.00,14.00%,0.00,0.00%,5.00,5.00%
Qwen3-8B,19.00,6.33%,10.12%,0.00%,0.500,404.94,3,14.00,14.00%,0.00,0.00%,5.00,5.00%
Qwen3-14B,19.00,6.33%,10.12%,0.00%,0.500,6.13,3,14.00,14.00%,0.00,0.00%,5.00,5.00%
seed-oss_8192,5.00,,5.95%,0.00%,0.027,4.15,3,0.00,,0.00,,5.00,
DeepSeek-R1-Distill-Qwen-14B,5.00,1.67%,5.95%,0.00%,0.063,3.11,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
DeepSeek-R1-Distill-Qwen-32B,5.00,1.67%,5.95%,0.00%,0.067,3.97,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
Qwen3-30B-Non-Thinking,5.00,1.67%,5.95%,0.00%,0.067,3.63,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
deepseek-chat,5.00,1.67%,5.95%,0.00%,0.070,3.63,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
seed-oss_-1,5.00,1.67%,5.95%,0.00%,0.073,7.70,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
Qwen2.5-72B,5.00,1.67%,5.95%,0.00%,0.140,6.85,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
Qwen3-30B,5.00,1.67%,5.95%,0.00%,0.150,4.76,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
Qwen3-32B-Non-Thinking,5.00,1.67%,5.95%,0.00%,0.197,404.53,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
Llama-4-Scout,5.00,1.67%,5.95%,0.00%,0.197,373.16,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
deepseek-reasoner,5.00,1.67%,5.95%,0.00%,0.223,5.97,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
Qwen3-14B-Non-Thinking,5.00,1.67%,7.74%,0.00%,0.247,4.68,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
Mistral-Large-Instruct-2411,5.00,1.67%,5.95%,0.00%,0.290,6.82,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
Llama-3.1-8B-Instruct,5.00,1.67%,5.95%,0.00%,0.403,18.17,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
Qwen3-4B,5.00,1.67%,5.95%,0.00%,0.470,169.84,3,0.00,0.00%,0.00,0.00%,5.00,5.00%
Qwen3-8B-Non-Thinking,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
QwQ-32B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
