problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,WRONG_ANSWER,0,0.00%,93.88%,0.000,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.000,0,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.000,0,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.700,121.49609375,,21,37,22,40,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,100.00%,0.160,2.5859375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,0.340,12.8984375,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,20,16.67%,42.55%,2.410,2.84375,,20,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.950,134.84375,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.080,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.100,9.234375,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,ACCEPTED,120,100.00%,100.00%,0.180,23.6640625,,17,27,37,24,15,0
tura,TIME_LIMIT_EXCEEDED,0,0.00%,12.95%,0.600,5.0546875,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,100.00%,0.100,1.55859375,,6,13,23,28,0,0
razlicitost,RUNTIME_ERROR,77,85.56%,83.72%,1.380,35.04296875,,25,0,9,43,0,0
blistavost,ACCEPTED,120,100.00%,100.00%,0.070,2.80078125,,20,25,55,20,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.96%,0.070,1.81640625,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.130,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.220,19.54296875,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,0.00%,3.28%,0.070,4.00390625,,0,0,0,0,0,0
zbunjenost,ACCEPTED,120,100.00%,100.00%,0.200,47.44140625,,13,18,34,15,40,0
TOTAL,,1440,,74.73%,,,64.00%,,,,,,
