competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,764,1500,5888,1077,4435,9002,1019,267
APIO-2023,0,0,7,1,8,8,0,0
APIO-2024,0,0,6,3,10,5,0,0
BOI-2023,0,0,5,0,11,32,0,0
BOI-2024,0,0,19,2,3,24,0,0
BOI-2025,0,0,8,0,8,32,0,0
CCO-2023,23,0,22,5,14,62,1,1
CCO-2024,31,0,9,5,8,61,1,13
CEOI-2023,0,0,14,2,17,15,0,0
CEOI-2024,0,0,8,1,9,30,0,0
COCI-2023,0,0,0,0,0,0,0,0
COCI-2024,18,4,58,2,40,77,0,1
COCI-2025,16,0,43,3,46,76,16,0
EGOI-2023,0,0,8,1,5,41,8,1
EGOI-2024,0,0,1,1,9,44,9,0
EJOI-2023,0,0,20,1,13,13,1,0
EJOI-2024,0,0,13,0,12,23,0,0
IATI-2024,0,8,26,1,4,33,8,8
IOI-2023,0,0,4,0,14,30,0,0
IOI-2024,0,0,15,6,14,13,0,0
JOI-2023,0,0,26,5,35,91,1,2
JOI-2024,0,0,21,8,46,83,2,0
NOINordic-2023,1,0,0,0,3,18,2,0
NOINordic-2024,0,0,8,1,0,13,2,0
NOINordic-2025,0,0,9,1,4,10,0,0
OOI-2023,3,0,30,13,0,53,37,0
OOI-2024,6,0,31,5,0,61,33,0
RMI-2023,0,0,1,0,38,5,4,0
RMI-2024,0,0,4,0,12,28,4,0
USACO-2023,5,83,105,32,60,99,0,0
USACO-2024,0,66,147,25,69,75,0,2
USACO-2025,0,28,98,17,84,61,0,0
