problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,ACCEPTED,50,100.00%,0.020,0.00390625,,9,19,22,0,0,0
karte,ACCEPTED,70,100.00%,0.020,1.55078125,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.020,0.00390625,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,0.710,99.83984375,,21,37,22,40,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.020,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,0.130,1.5546875,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,0.300,12.8984375,,7,11,17,29,26,0
crtez,RUNTIME_ERROR,0,4.26%,0.130,255.02734375,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,1.670,127.36328125,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,0.040,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.060,8.9765625,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,37,16.13%,0.120,23.21875,,0,0,37,0,0,0
tura,RUNTIME_ERROR,0,0.72%,0.020,1.5546875,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,0.020,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,0.060,1.55859375,,6,13,23,28,0,0
razlicitost,ACCEPTED,90,100.00%,1.340,112.90234375,,25,13,9,43,0,0
blistavost,ACCEPTED,120,100.00%,0.080,2.15625,,20,25,55,20,0,0
trokuti,MEMORY_LIMIT_EXCEEDED,13,25.96%,0.030,1.8125,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.080,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.220,18.828125,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,13.11%,0.060,1.65625,,0,0,0,0,0,0
zbunjenost,ACCEPTED,120,100.00%,0.140,37.90234375,,13,18,34,15,40,0
TOTAL,,1400,70.64%,,,68.00%,,,,,,
