competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,579,1242,7594,643,2604,7336,690,96
APIO-2023,0,0,10,0,6,8,0,0
APIO-2024,0,0,12,0,5,7,0,0
BOI-2023,0,0,2,0,5,41,0,0
BOI-2024,0,0,8,0,4,36,0,0
BOI-2025,0,0,15,1,4,26,2,0
CCO-2023,21,0,29,5,5,64,1,3
CCO-2024,32,0,30,0,4,55,1,6
CEOI-2023,0,0,11,0,18,18,1,0
CEOI-2024,0,0,18,1,3,26,0,0
COCI-2023,10,0,69,4,17,92,8,0
COCI-2024,12,6,58,5,34,84,0,1
COCI-2025,7,0,63,7,19,88,16,0
EGOI-2023,0,0,16,0,1,37,10,0
EGOI-2024,0,0,10,0,5,41,8,0
EJOI-2023,0,0,29,0,5,13,1,0
EJOI-2024,0,0,23,0,3,22,0,0
IATI-2024,0,6,28,7,5,36,6,0
IOI-2023,0,0,10,0,18,18,0,2
IOI-2024,0,0,21,5,6,16,0,0
JOI-2023,0,0,43,5,26,82,3,1
JOI-2024,0,0,25,1,40,87,6,1
NOINordic-2023,0,0,6,2,2,14,0,0
NOINordic-2024,0,0,4,0,4,15,1,0
NOINordic-2025,0,0,11,0,8,5,0,0
OOI-2023,3,0,51,13,1,47,21,0
OOI-2024,3,0,63,5,0,50,15,0
RMI-2023,0,0,0,0,38,5,5,0
RMI-2024,0,0,16,1,7,23,1,0
USACO-2023,8,57,189,19,27,82,1,1
USACO-2024,0,76,203,11,29,65,0,0
USACO-2025,0,35,123,12,75,43,0,0
