problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,Mistral-Small-3.1-24B-2503,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,Mistral-Small-3.1-24B-2503,RUNTIME_ERROR,0,0.00%,13.33%,0.000,0
2023-sp_Passport,Mistral-Small-3.1-24B-2503,TIME_LIMIT_EXCEEDED,0,0.00%,30.65%,2.520,4.390625
2023-sp_Belt_Conveyor,Mistral-Small-3.1-24B-2503,RUNTIME_ERROR,0,0.00%,3.23%,0.700,12.36328125
2023-sp_Council,Mistral-Small-3.1-24B-2503,TIME_LIMIT_EXCEEDED,0,0.00%,5.61%,3.600,35.47265625
2023-sp_Mizuyokan_2,Mistral-Small-3.1-24B-2503,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Chorus,Mistral-Small-3.1-24B-2503,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0
2023-sp_Cookies,Mistral-Small-3.1-24B-2503,RUNTIME_ERROR,0,0.00%,4.62%,0.140,0
2023-sp_Tourism,Mistral-Small-3.1-24B-2503,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Super_Dango_Maker,Mistral-Small-3.1-24B-2503,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,Mistral-Small-3.1-24B-2503,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
