problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,ACCEPTED,100,100.00%,100.00%,0.760,39.171875,,0.0,10.0,0,0,0,0,0,6.0,8.0,13.0,11.0,9.0,11.0,14.0,18.0
Cute_Subsequences,ACCEPTED,100,100.00%,100.00%,0.160,7.9453125,,0.0,14.0,0,0,0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,41,41.00%,54.46%,0.190,15.4765625,,0.0,4.0,0,0,0,0,0,0,0,0,0,10.0,0,10.0,17.0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.600,41.7734375,,0.0,13.0,10.0,7.0,0,0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,15,15.00%,49.61%,0.190,6.97265625,,0.0,0,0,0,0,0,0,0,9.0,0,6.0,0,0,0,0
Order_Statistics,ACCEPTED,100,100.00%,100.00%,2.380,20.4765625,,0.0,4.0,13.0,9.0,8.0,0,0,5.0,6.0,7.0,11.0,9.0,10.0,7.0,11.0
Best_Runner,ACCEPTED,100,100.00%,100.00%,0.170,28.15234375,,0.0,23.0,0,0,0,0,0,10.0,16.0,19.0,11.0,21.0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.120,5.41796875,,0.0,11.0,0,0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,70,70.00%,95.67%,8.510,13.66796875,,0.0,10.0,0,0,0,0,0,8.0,11.0,14.0,8.0,11.0,8.0,0,0
Road_Lighting,RUNTIME_ERROR,10,10.00%,27.18%,0.160,22.546875,,0.0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,100.00%,0.420,83.0625,,0.0,10.0,0,0,0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,RUNTIME_ERROR,0,0.00%,0.00%,0.110,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,ACCEPTED,100,100.00%,100.00%,0.690,504.1796875,,0.0,8.0,11.0,0,0,0,0,7.0,9.0,15.0,8.0,6.0,7.0,10.0,19.0
Stone_Enthusiast,ACCEPTED,100,100.00%,100.00%,0.300,21.80078125,,0.0,16.0,0,0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,ACCEPTED,100,100.00%,100.00%,0.490,75.37890625,,0.0,8.0,0,0,0,0,0,7.0,9.0,12.0,19.0,10.0,14.0,21.0,0
Ultrafast_train,ACCEPTED,100,100.00%,100.00%,0.150,10.00390625,,0.0,17.0,0,0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,1236,,78.06%,,,64.71%,,,,,,,,,,,,,,,
