competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Mistral-Small-3.1-24B-2503,3445,13.12%,0.55,23.47,4.38%
APIO-2023,Mistral-Small-3.1-24B-2503,15,11.40%,1.60,94.76,0.00%
APIO-2024,Mistral-Small-3.1-24B-2503,0,0.00%,0.00,0.00,0.00%
BOI-2023,Mistral-Small-3.1-24B-2503,0,4.27%,0.02,2.74,0.00%
BOI-2024,Mistral-Small-3.1-24B-2503,21,15.68%,0.19,1.21,0.00%
BOI-2025,Mistral-Small-3.1-24B-2503,0,1.82%,0.19,14.79,0.00%
CCO-2023,Mistral-Small-3.1-24B-2503,57,26.52%,0.22,8.21,18.75%
CCO-2024,Mistral-Small-3.1-24B-2503,93,40.00%,0.66,8.17,37.50%
CEOI-2023,Mistral-Small-3.1-24B-2503,0,0.44%,0.05,0.00,0.00%
CEOI-2024,Mistral-Small-3.1-24B-2503,10,17.47%,1.53,10.99,0.00%
COCI-2023,Mistral-Small-3.1-24B-2503,0,0.00%,0.00,0.00,0.00%
COCI-2024,Mistral-Small-3.1-24B-2503,216,20.71%,0.35,26.42,12.00%
COCI-2025,Mistral-Small-3.1-24B-2503,229,17.53%,0.86,11.82,0.00%
EGOI-2023,Mistral-Small-3.1-24B-2503,53,12.98%,0.46,1.85,0.00%
EGOI-2024,Mistral-Small-3.1-24B-2503,0,6.67%,0.57,7.87,0.00%
EJOI-2023,Mistral-Small-3.1-24B-2503,5,2.74%,0.19,0.42,0.00%
EJOI-2024,Mistral-Small-3.1-24B-2503,24,12.48%,0.80,17.25,0.00%
IATI-2024,Mistral-Small-3.1-24B-2503,65,9.89%,0.07,0.97,0.00%
IOI-2023,Mistral-Small-3.1-24B-2503,0,1.76%,0.62,7.80,0.00%
IOI-2024,Mistral-Small-3.1-24B-2503,22,12.02%,0.25,375.58,0.00%
JOI-2023,Mistral-Small-3.1-24B-2503,0,6.50%,0.49,3.21,0.00%
JOI-2024,Mistral-Small-3.1-24B-2503,8,4.32%,0.14,3.62,0.00%
NOINordic-2023,Mistral-Small-3.1-24B-2503,107,62.85%,1.18,3.61,33.33%
NOINordic-2024,Mistral-Small-3.1-24B-2503,0,12.90%,0.12,3.70,0.00%
NOINordic-2025,Mistral-Small-3.1-24B-2503,0,1.27%,3.42,6.03,0.00%
OOI-2023,Mistral-Small-3.1-24B-2503,351,28.27%,0.40,35.75,5.88%
OOI-2024,Mistral-Small-3.1-24B-2503,301,26.97%,0.83,8.02,11.76%
RMI-2023,Mistral-Small-3.1-24B-2503,0,2.33%,0.01,0.00,0.00%
RMI-2024,Mistral-Small-3.1-24B-2503,113,28.61%,0.60,54.06,16.67%
USACO-2023,Mistral-Small-3.1-24B-2503,745,6.65%,0.42,7.88,0.00%
USACO-2024,Mistral-Small-3.1-24B-2503,680,6.70%,0.57,7.99,0.00%
USACO-2025,Mistral-Small-3.1-24B-2503,330,4.95%,0.29,2.95,0.00%
