problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.130,5.109375,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.040,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,2.00%,0.110,17.28125,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,12.39%,0.070,6.1953125,,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,1.290,107.765625,,5,5,7,8,0,0,0
d1p2,TIME_LIMIT_EXCEEDED,4,17.65%,4.420,184.66015625,,0,4,0,0,0,0,0
d1p3,RUNTIME_ERROR,1,4.27%,0.220,18.765625,,1,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.56%,0.080,20.375,,0,0,0,0,0,0,0
d2p3,MEMORY_LIMIT_EXCEEDED,3,18.39%,0.510,23.28515625,,3,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.050,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.070,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,0.060,2.55078125,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,0.050,1.55078125,,1,4,5,5,0,0,0
TOTAL,,138,53.45%,,,50.00%,,,,,,,
