solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
gold_Pareidolia_gpt-oss-120b_1.cpp,RUNTIME_ERROR,0,0.00%,5.88%,0.130,3.22265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Pareidolia_gpt-oss-120b_2.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.130,3.2265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Pareidolia_gpt-oss-120b_3.cpp,WRONG_ANSWER,0,0.00%,11.76%,0.130,2.44921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Pareidolia_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Pareidolia_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Pareidolia_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Pareidolia_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Pareidolia_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Pareidolia_gpt-oss-120b_6.cpp,ACCEPTED,333,103.42%,100.00%,0.130,3.22265625,0,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807,23.809523809523807
gold_Pareidolia_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,5.88%,0.130,3.22265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
